iter,evals,f_best,f_mean,f_std,gbest_f,x_best
1,20,-2.023490000000e+00,1.605816000000e+01,2.939452965300e+01,-2.023490000000e+00,"[0.18992250663889482, 0.3487287463744894, 0.2650194782291712, 0.08447080300804932, 0.36981426926622424, -0.08311895606460729]"
2,40,-2.023490000000e+00,7.640291000000e+00,1.231093506065e+01,-2.023490000000e+00,"[0.18992250663889482, 0.3487287463744894, 0.2650194782291712, 0.08447080300804932, 0.36981426926622424, -0.08311895606460729]"
3,60,-2.023490000000e+00,7.405250000000e-01,4.651477045536e+00,-2.023490000000e+00,"[0.18992250663889482, 0.3487287463744894, 0.2650194782291712, 0.08447080300804932, 0.36981426926622424, -0.08311895606460729]"
4,80,-2.023490000000e+00,3.421150000000e-02,6.193198008136e+00,-2.023490000000e+00,"[0.18992250663889482, 0.3487287463744894, 0.2650194782291712, 0.08447080300804932, 0.36981426926622424, -0.08311895606460729]"
5,100,-2.023490000000e+00,6.621034000000e+00,3.071200574059e+01,-2.023490000000e+00,"[0.18992250663889482, 0.3487287463744894, 0.2650194782291712, 0.08447080300804932, 0.36981426926622424, -0.08311895606460729]"
6,120,-2.023490000000e+00,3.023184000000e+01,9.624504084360e+01,-2.023490000000e+00,"[0.18992250663889482, 0.3487287463744894, 0.2650194782291712, 0.08447080300804932, 0.36981426926622424, -0.08311895606460729]"
7,140,-2.076240000000e+00,-7.997710000000e-01,1.368710669455e+00,-2.076240000000e+00,"[0.1921716907197588, 0.3589099205691896, 0.25863399461188463, 0.08094264097880613, 0.36314157532955516, -0.04972461165161024]"
8,160,-2.076240000000e+00,-9.238525000000e-01,1.996365611430e+00,-2.076240000000e+00,"[0.1921716907197588, 0.3589099205691896, 0.25863399461188463, 0.08094264097880613, 0.36314157532955516, -0.04972461165161024]"
9,180,-2.092010000000e+00,-1.202726000000e+00,9.060368114564e-01,-2.092010000000e+00,"[0.20637343570256175, 0.3664274315561151, 0.2347849725490337, -0.004883676348687735, 0.2814423076368624, -0.06029855151469246]"
10,200,-2.266640000000e+00,1.333023500000e+00,1.110303645016e+01,-2.266640000000e+00,"[0.20637343570256175, 0.3664274315561151, 0.31707043290464826, -0.004883676348687735, 0.2814423076368624, -0.06029855151469246]"
11,220,-2.266640000000e+00,2.100279000000e+00,1.309133568408e+01,-2.266640000000e+00,"[0.20637343570256175, 0.3664274315561151, 0.31707043290464826, -0.004883676348687735, 0.2814423076368624, -0.06029855151469246]"
12,240,-2.266640000000e+00,-1.959975500000e+00,3.249838951160e-01,-2.266640000000e+00,"[0.20637343570256175, 0.3664274315561151, 0.31707043290464826, -0.004883676348687735, 0.2814423076368624, -0.06029855151469246]"
13,260,-2.273670000000e+00,-2.150176500000e+00,1.182670564137e-01,-2.273670000000e+00,"[0.20637343570256175, 0.4193113887608736, 0.2820906671327779, -0.004883676348687735, 0.26349202670555066, -0.06029855151469246]"
14,280,-2.418060000000e+00,-2.267006500000e+00,8.388499009209e-02,-2.418060000000e+00,"[0.171847906517148, 0.5, 0.31465199617568607, -0.004883676348687735, 0.28020125819752095, -0.06029855151469246]"
15,300,-2.418060000000e+00,-2.255761000000e+00,3.561513631576e-01,-2.418060000000e+00,"[0.171847906517148, 0.5, 0.31465199617568607, -0.004883676348687735, 0.28020125819752095, -0.06029855151469246]"
16,320,-2.418060000000e+00,-2.361292500000e+00,5.809017213565e-02,-2.418060000000e+00,"[0.171847906517148, 0.5, 0.31465199617568607, -0.004883676348687735, 0.28020125819752095, -0.06029855151469246]"
17,340,-2.421980000000e+00,-2.119700000000e+00,6.846774297653e-01,-2.421980000000e+00,"[0.20393854920341545, 0.48385379728624855, 0.31239210783350824, -0.004883676348687735, 0.277629000708122, -0.06029855151469246]"
18,360,-2.483530000000e+00,-2.355183500000e+00,9.446610970475e-02,-2.483530000000e+00,"[0.18461842499012043, 0.47961970551903355, 0.3690320791813981, -0.004883676348687735, 0.28042251729426854, -0.06029855151469246]"
19,380,-2.483530000000e+00,-2.347953000000e+00,1.158201695345e-01,-2.483530000000e+00,"[0.18461842499012043, 0.47961970551903355, 0.3690320791813981, -0.004883676348687735, 0.28042251729426854, -0.06029855151469246]"
20,400,-2.560320000000e+00,-2.394411500000e+00,1.013945018369e-01,-2.560320000000e+00,"[0.200570038358162, 0.5, 0.41805247921474853, -0.004883676348687735, 0.27906533836232467, -0.06029855151469246]"
21,420,-2.560320000000e+00,-2.373770500000e+00,2.496302586121e-01,-2.560320000000e+00,"[0.200570038358162, 0.5, 0.41805247921474853, -0.004883676348687735, 0.27906533836232467, -0.06029855151469246]"
22,440,-2.560710000000e+00,-2.488783000000e+00,9.061802183341e-02,-2.560710000000e+00,"[0.20012442627856003, 0.4997180944290973, 0.41972071372272296, -0.004883676348687735, 0.2789984153488779, -0.060025162564404225]"
23,460,-2.561350000000e+00,-2.503856500000e+00,7.672822546332e-02,-2.561350000000e+00,"[0.19972978090932725, 0.49946843169953886, 0.4211981445499001, -0.004883676348687735, 0.27893914662937763, -0.05978304237025006]"
24,480,-2.561400000000e+00,-2.474377500000e+00,1.629780974510e-01,-2.561400000000e+00,"[0.19994084982783739, 0.49960195928260065, 0.42040796746642883, -0.004883676348687735, 0.27897084542911454, -0.05991253596504108]"
25,500,-2.561410000000e+00,-2.496090500000e+00,1.380049951080e-01,-2.561410000000e+00,"[0.1999148455296917, 0.4995855083001201, 0.4205053195569759, -0.004883676348687735, 0.27896694004576844, -0.059896581981523894]"
