iter,evals,f_best,f_mean,f_std,gbest_f,x_best
1,20,-1.985130000000e+00,8.848954000000e+00,4.441025022125e+00,-1.985130000000e+00,"[np.float64(0.08418931283543679), np.float64(0.3265241093544194), np.float64(0.46080100959849896), np.float64(-0.10411878295318042), np.float64(0.20118792470067393), np.float64(0.239092844696852)]"
2,40,-1.994600000000e+00,6.772633500000e+00,4.969056917624e+00,-1.994600000000e+00,"[np.float64(0.08183789093534405), np.float64(0.32095932577697706), np.float64(0.45421635120810244), np.float64(-0.10097116280658172), np.float64(0.19943730491043188), np.float64(0.24150114577548684)]"
3,60,-3.021157000000e+01,-1.658590000000e-01,8.524974420352e+00,-3.021157000000e+01,"[np.float64(0.010551755918964859), np.float64(0.3159154013772608), np.float64(0.40578967603387056), np.float64(-0.052417142397363344), np.float64(0.20159081570352413), np.float64(0.1234823548476309)]"
4,80,-1.609391000000e+02,-8.607114500000e+00,3.773309293898e+01,-1.609391000000e+02,"[np.float64(0.010551755918964859), np.float64(0.3159154013772608), np.float64(0.40578967603387056), np.float64(-0.007701402310013074), np.float64(0.20159081570352416), np.float64(0.1234823548476309)]"
5,100,-1.609391000000e+02,-1.889809300000e+01,4.785073753430e+01,-1.609391000000e+02,"[np.float64(0.010551755918964859), np.float64(0.3159154013772608), np.float64(0.40578967603387056), np.float64(-0.007701402310013074), np.float64(0.20159081570352416), np.float64(0.1234823548476309)]"
6,120,-1.609391000000e+02,-1.989592750000e+01,4.758205253693e+01,-1.609391000000e+02,"[np.float64(0.010551755918964859), np.float64(0.3159154013772608), np.float64(0.40578967603387056), np.float64(-0.007701402310013074), np.float64(0.20159081570352416), np.float64(0.1234823548476309)]"
7,140,-2.596694500000e+02,-2.870410050000e+01,1.119946417406e+02,-2.596694500000e+02,"[np.float64(0.010551755918964859), np.float64(0.3159154013772608), np.float64(0.40578967603387056), np.float64(-0.00399902171097076), np.float64(0.20159081570352413), np.float64(0.1234823548476309)]"
8,160,-3.136061500000e+02,-9.444986600000e+01,1.017386929275e+02,-3.136061500000e+02,"[np.float64(0.010551755918964859), np.float64(0.3159154013772608), np.float64(0.40578967603387056), np.float64(-0.007701402310013074), np.float64(0.20838096879902565), np.float64(0.1234823548476309)]"
9,180,-4.326002200000e+02,-1.555485220000e+02,1.252658707079e+02,-4.326002200000e+02,"[np.float64(0.010551755918964859), np.float64(0.34059314894820536), np.float64(0.40578967603387056), np.float64(-0.007701402310013074), np.float64(0.20159081570352416), np.float64(0.1234823548476309)]"
10,200,-4.493094000000e+02,-1.870442215000e+02,1.699635630898e+02,-4.493094000000e+02,"[np.float64(0.010551755918964859), np.float64(0.3374699826423285), np.float64(0.40578967603387056), np.float64(-0.007701402310013074), np.float64(0.2024501638793919), np.float64(0.1234823548476309)]"
11,220,-4.652893300000e+02,-1.461680660000e+02,1.704050800584e+02,-4.652893300000e+02,"[np.float64(0.01121844794543133), np.float64(0.3159154013772608), np.float64(0.5), np.float64(-0.007197981434037233), np.float64(0.10671616927225194), np.float64(0.1234823548476309)]"
12,240,-5.002700200000e+02,-1.818014960000e+02,1.697419470384e+02,-5.002700200000e+02,"[np.float64(0.012162347140523826), np.float64(0.342878500921109), np.float64(0.39775371837556384), np.float64(-0.005832098993753264), np.float64(0.20630409452034915), np.float64(0.1254373908444581)]"
13,260,-5.002700200000e+02,-2.165422630000e+02,1.885102655461e+02,-5.002700200000e+02,"[np.float64(0.012162347140523826), np.float64(0.342878500921109), np.float64(0.39775371837556384), np.float64(-0.005832098993753264), np.float64(0.20630409452034915), np.float64(0.1254373908444581)]"
14,280,-5.002700200000e+02,-2.506588035000e+02,1.743763593535e+02,-5.002700200000e+02,"[np.float64(0.012162347140523826), np.float64(0.342878500921109), np.float64(0.39775371837556384), np.float64(-0.005832098993753264), np.float64(0.20630409452034915), np.float64(0.1254373908444581)]"
15,300,-5.002700200000e+02,-3.049139015000e+02,2.046160117474e+02,-5.002700200000e+02,"[np.float64(0.012162347140523826), np.float64(0.342878500921109), np.float64(0.39775371837556384), np.float64(-0.005832098993753264), np.float64(0.20630409452034915), np.float64(0.1254373908444581)]"
16,320,-5.002700200000e+02,-2.740980705000e+02,2.196661098876e+02,-5.002700200000e+02,"[np.float64(0.012162347140523826), np.float64(0.342878500921109), np.float64(0.39775371837556384), np.float64(-0.005832098993753264), np.float64(0.20630409452034915), np.float64(0.1254373908444581)]"
17,340,-5.035420400000e+02,-2.173136575000e+02,2.784533435643e+02,-5.035420400000e+02,"[np.float64(0.012146880232360047), np.float64(0.342635975901654), np.float64(0.39809257993315195), np.float64(-0.005850577939904541), np.float64(0.2055092549763316), np.float64(0.12463368839420969)]"
18,360,-5.035420400000e+02,-2.123500195000e+02,1.981341687305e+02,-5.035420400000e+02,"[np.float64(0.012146880232360047), np.float64(0.342635975901654), np.float64(0.39809257993315195), np.float64(-0.005850577939904541), np.float64(0.2055092549763316), np.float64(0.12463368839420969)]"
