iter,evals,f_best,f_mean,f_std,gbest_f,x_best
1,40,-2.023490000000e+00,1.325135750000e+01,2.101843961717e+01,-2.023490000000e+00,"[0.18992250663889482, 0.3487287463744894, 0.2650194782291712, 0.08447080300804932, 0.36981426926622424, -0.08311895606460729]"
2,80,-2.023490000000e+00,9.435978000000e+00,7.150707823013e+00,-2.023490000000e+00,"[0.18992250663889482, 0.3487287463744894, 0.2650194782291712, 0.08447080300804932, 0.36981426926622424, -0.08311895606460729]"
3,120,-2.023490000000e+00,8.196414250000e+00,4.119752889228e+00,-2.023490000000e+00,"[0.18992250663889482, 0.3487287463744894, 0.2650194782291712, 0.08447080300804932, 0.36981426926622424, -0.08311895606460729]"
4,160,-2.023490000000e+00,6.813493000000e+00,5.037913545015e+00,-2.023490000000e+00,"[0.18992250663889482, 0.3487287463744894, 0.2650194782291712, 0.08447080300804932, 0.36981426926622424, -0.08311895606460729]"
5,200,-2.386320000000e+00,2.015242750000e+00,5.807890823075e+00,-2.386320000000e+00,"[0.16950950732350836, 0.3513514205876795, 0.23376923808626057, 0.07215870367744666, 0.3554713284465349, -0.04488201906835206]"
6,240,-2.386320000000e+00,1.546035000000e-01,9.394087295829e+00,-2.386320000000e+00,"[0.16950950732350836, 0.3513514205876795, 0.23376923808626057, 0.07215870367744666, 0.3554713284465349, -0.04488201906835206]"
7,280,-2.386320000000e+00,2.889397000000e+00,1.652143765020e+01,-2.386320000000e+00,"[0.16950950732350836, 0.3513514205876795, 0.23376923808626057, 0.07215870367744666, 0.3554713284465349, -0.04488201906835206]"
8,320,-2.386320000000e+00,3.471456250000e+00,1.709943355646e+01,-2.386320000000e+00,"[0.16950950732350836, 0.3513514205876795, 0.23376923808626057, 0.07215870367744666, 0.3554713284465349, -0.04488201906835206]"
9,360,-5.639360000000e+00,3.731588000000e+00,1.140278034082e+01,-5.639360000000e+00,"[0.14960632194569579, 0.34793844938024376, 0.24615851974462646, 0.08093605346069395, 0.36686236820289425, -0.06039775676858222]"
10,400,-5.639360000000e+00,3.587572500000e-01,6.690993972916e+00,-5.639360000000e+00,"[0.14960632194569579, 0.34793844938024376, 0.24615851974462646, 0.08093605346069395, 0.36686236820289425, -0.06039775676858222]"
11,440,-7.656860000000e+00,1.524164000000e+00,9.804098821304e+00,-7.656860000000e+00,"[0.14140806129104092, 0.3558353108684228, 0.23699669251193964, 0.07586366249217619, 0.3587001614993857, -0.048784452820958835]"
12,480,-7.656860000000e+00,1.336488750000e+00,1.556411967995e+01,-7.656860000000e+00,"[0.14140806129104092, 0.3558353108684228, 0.23699669251193964, 0.07586366249217619, 0.3587001614993857, -0.048784452820958835]"
13,520,-9.086250000000e+00,-1.338222750000e+00,4.591475931579e+00,-9.086250000000e+00,"[0.14414588345235785, 0.35318825299676593, 0.24071964342065294, 0.07786389466936214, 0.3624677987162281, -0.05329749649112828]"
