iter,evals,f_best,f_mean,f_std,gbest_f,x_best
1,10,-1.985130000000e+00,7.697908000000e+00,6.065937083918e+00,-1.985130000000e+00,"[np.float64(0.08418931283543679), np.float64(0.3265241093544194), np.float64(0.46080100959849896), np.float64(-0.10411878295318042), np.float64(0.20118792470067393), np.float64(0.239092844696852)]"
2,20,-4.512378000000e+01,-2.612877000000e+00,1.512911932157e+01,-4.512378000000e+01,"[np.float64(0.02766638596323128), np.float64(0.3276993375427529), np.float64(0.3387696224159262), np.float64(-0.01618223382692685), np.float64(0.21009393041368837), np.float64(0.2744520349392339)]"
3,30,-4.512378000000e+01,-5.650825000000e+00,1.380201752947e+01,-4.512378000000e+01,"[np.float64(0.02766638596323128), np.float64(0.3276993375427529), np.float64(0.3387696224159262), np.float64(-0.01618223382692685), np.float64(0.21009393041368837), np.float64(0.2744520349392339)]"
4,40,-4.512378000000e+01,-5.368420000000e+00,1.464265382820e+01,-4.512378000000e+01,"[np.float64(0.02766638596323128), np.float64(0.3276993375427529), np.float64(0.3387696224159262), np.float64(-0.01618223382692685), np.float64(0.21009393041368837), np.float64(0.2744520349392339)]"
5,50,-4.512378000000e+01,-7.968981000000e+00,1.269044035457e+01,-4.512378000000e+01,"[np.float64(0.02766638596323128), np.float64(0.3276993375427529), np.float64(0.3387696224159262), np.float64(-0.01618223382692685), np.float64(0.21009393041368837), np.float64(0.2744520349392339)]"
6,60,-1.206227600000e+02,-2.787713600000e+01,4.728001021092e+01,-1.206227600000e+02,"[np.float64(0.048017076316499555), np.float64(0.3273240063150002), np.float64(0.339325109334258), np.float64(0.025103720115284993), np.float64(0.20821846178320821), np.float64(0.27189431751905646)]"
7,70,-1.206227600000e+02,-3.661723500000e+01,5.068258323840e+01,-1.206227600000e+02,"[np.float64(0.048017076316499555), np.float64(0.3273240063150002), np.float64(0.339325109334258), np.float64(0.025103720115284993), np.float64(0.20821846178320821), np.float64(0.27189431751905646)]"
8,80,-1.591057700000e+02,-7.654146800000e+01,5.714557673339e+01,-1.591057700000e+02,"[np.float64(0.04756179537136533), np.float64(0.31071953545559294), np.float64(0.44849308812640915), np.float64(0.022511210336492688), np.float64(0.19874566492071022), np.float64(0.2579611355915069)]"
9,90,-1.591057700000e+02,-8.479474600000e+01,6.231105751119e+01,-1.591057700000e+02,"[np.float64(0.04756179537136533), np.float64(0.31071953545559294), np.float64(0.44849308812640915), np.float64(0.022511210336492688), np.float64(0.19874566492071022), np.float64(0.2579611355915069)]"
10,100,-1.628947600000e+02,-1.298238650000e+02,4.473857847447e+01,-1.628947600000e+02,"[np.float64(0.04552673789801966), np.float64(0.3149899809928216), np.float64(0.377242203622454), np.float64(0.01791013836338542), np.float64(0.14200974000057942), np.float64(0.27488296303586257)]"
11,110,-1.893919000000e+02,-1.446985240000e+02,5.088132664516e+01,-1.893919000000e+02,"[np.float64(0.04552673789801966), np.float64(0.3149899809928216), np.float64(0.4014377517648453), np.float64(0.01791013836338542), np.float64(0.14200974000057942), np.float64(0.27488296303586257)]"
12,120,-1.893919000000e+02,-1.001786530000e+02,8.866130258584e+01,-1.893919000000e+02,"[np.float64(0.04552673789801966), np.float64(0.3149899809928216), np.float64(0.4014377517648453), np.float64(0.01791013836338542), np.float64(0.14200974000057942), np.float64(0.27488296303586257)]"
13,130,-1.893919000000e+02,-1.158230450000e+02,6.490491183680e+01,-1.893919000000e+02,"[np.float64(0.04552673789801966), np.float64(0.3149899809928216), np.float64(0.4014377517648453), np.float64(0.01791013836338542), np.float64(0.14200974000057942), np.float64(0.27488296303586257)]"
14,140,-1.893919000000e+02,-9.949749600000e+01,7.063792212615e+01,-1.893919000000e+02,"[np.float64(0.04552673789801966), np.float64(0.3149899809928216), np.float64(0.4014377517648453), np.float64(0.01791013836338542), np.float64(0.14200974000057942), np.float64(0.27488296303586257)]"
15,150,-1.893919000000e+02,-1.447594500000e+02,5.888010052953e+01,-1.893919000000e+02,"[np.float64(0.04552673789801966), np.float64(0.3149899809928216), np.float64(0.4014377517648453), np.float64(0.01791013836338542), np.float64(0.14200974000057942), np.float64(0.27488296303586257)]"
16,160,-1.937957200000e+02,-1.364313480000e+02,7.595335245374e+01,-1.937957200000e+02,"[np.float64(0.04397060001829836), np.float64(0.3148189292291133), np.float64(0.38829891167606834), np.float64(0.018094433296803453), np.float64(0.14428228508717683), np.float64(0.27124431102105495)]"
17,170,-4.533695500000e+02,-1.370065060000e+02,1.312690229638e+02,-4.533695500000e+02,"[np.float64(0.04494355585245461), np.float64(0.3035345887179918), np.float64(0.4837625572959378), np.float64(0.01797920518430058), np.float64(0.142861404566754), np.float64(0.2735193328892364)]"
18,180,-4.533695500000e+02,-1.400151090000e+02,1.166240300470e+02,-4.533695500000e+02,"[np.float64(0.04494355585245461), np.float64(0.3035345887179918), np.float64(0.4837625572959378), np.float64(0.01797920518430058), np.float64(0.142861404566754), np.float64(0.2735193328892364)]"
19,190,-4.533695500000e+02,-1.490879790000e+02,1.751924054830e+02,-4.533695500000e+02,"[np.float64(0.04494355585245461), np.float64(0.3035345887179918), np.float64(0.4837625572959378), np.float64(0.01797920518430058), np.float64(0.142861404566754), np.float64(0.2735193328892364)]"
20,200,-4.533695500000e+02,-2.019800340000e+02,1.640727956514e+02,-4.533695500000e+02,"[np.float64(0.04494355585245461), np.float64(0.3035345887179918), np.float64(0.4837625572959378), np.float64(0.01797920518430058), np.float64(0.142861404566754), np.float64(0.2735193328892364)]"
21,210,-4.533695500000e+02,-1.698519670000e+02,1.665883780073e+02,-4.533695500000e+02,"[np.float64(0.04494355585245461), np.float64(0.3035345887179918), np.float64(0.4837625572959378), np.float64(0.01797920518430058), np.float64(0.142861404566754), np.float64(0.2735193328892364)]"
