iter,evals,f_best,f_mean,f_std,gbest_f,x_best
1,80,-2.023490000000e+00,1.162324000000e+01,1.517006118721e+01,-2.023490000000e+00,"[0.18992250663889482, 0.3487287463744894, 0.2650194782291712, 0.08447080300804932, 0.36981426926622424, -0.08311895606460729]"
2,160,-2.030430000000e+00,8.252048625000e+00,4.164306727626e+00,-2.030430000000e+00,"[0.15990263612566613, 0.36987729272957665, 0.21829331905173696, 0.0980696318133689, 0.29998009509360496, 0.013121352558898305]"
3,240,-2.296608000000e+01,5.219307750000e+00,9.530972081792e+00,-2.296608000000e+01,"[-0.006640598968406103, 0.4168230142161068, 0.18864261607438443, -0.05203827874302195, 0.08427859619615966, 0.13962970526082152]"
4,320,-2.296608000000e+01,5.665756750000e+00,3.834075631524e+01,-2.296608000000e+01,"[-0.006640598968406103, 0.4168230142161068, 0.18864261607438443, -0.05203827874302195, 0.08427859619615966, 0.13962970526082152]"
5,400,-2.296608000000e+01,4.864653750000e-01,1.730849490131e+01,-2.296608000000e+01,"[-0.006640598968406103, 0.4168230142161068, 0.18864261607438443, -0.05203827874302195, 0.08427859619615966, 0.13962970526082152]"
6,480,-2.296608000000e+01,6.772086250000e-01,2.560175518036e+01,-2.296608000000e+01,"[-0.006640598968406103, 0.4168230142161068, 0.18864261607438443, -0.05203827874302195, 0.08427859619615966, 0.13962970526082152]"
7,560,-2.788115000000e+01,-3.113482125000e+00,4.909717419322e+00,-2.788115000000e+01,"[-0.0006027650963631335, 0.4155377442958246, 0.1907795664181835, -0.05237155069708263, 0.08836604479500154, 0.13689928786514577]"
