iter,evals,f_best,f_mean,f_std,gbest_f,x_best
1,40,-2.140520000000e+00,8.061463250000e+00,4.217566431461e+00,-2.140520000000e+00,"[0.21056282877787197, 0.38777922252625957, 0.30853152721865923, 0.05550508445599123, 0.11387741654113898, 0.057389698783004595]"
2,80,-2.695830000000e+00,9.341474250000e+00,1.488639984254e+01,-2.695830000000e+00,"[0.3018351393816951, 0.4293132218366267, 0.3567395501485584, 0.009758369278487632, 0.1837130672158696, 0.22202012583049688]"
3,120,-2.860640000000e+00,1.205443325000e+01,3.477993031636e+01,-2.860640000000e+00,"[0.22644413169273714, 0.5, 0.3973569705227223, 0.09771156150106892, 0.15664392087095616, 0.2391883913538801]"
4,160,-3.130910000000e+00,1.063459375000e+01,3.334549140333e+01,-3.130910000000e+00,"[0.3842555672150003, 0.5, 0.4265045099638636, -0.029147523478693968, 0.21284691250797683, 0.32433361635949876]"
5,200,-3.423700000000e+00,2.672245750000e+00,6.724454545165e+00,-3.423700000000e+00,"[0.333013621215467, 0.5, 0.4796388799688086, 0.04233476349620205, 0.2586078091651593, 0.42193554421658436]"
