iter,evals,f_best,f_mean,f_std,gbest_f
1,40,7.847363767814e+00,6.078681725775e+01,3.103873911101e+01,7.847363767814e+00
2,80,6.547391877120e+00,2.650253952590e+01,1.844253501874e+01,6.547391877120e+00
3,120,6.674100531097e-01,8.699519422653e+00,7.827004515610e+00,6.674100531097e-01
4,160,5.707953682349e-01,1.000522262865e+01,6.098592659651e+00,5.707953682349e-01
5,200,4.775312688848e-01,7.221452909057e+00,6.846095361902e+00,4.775312688848e-01
6,240,4.735457114585e-01,6.599631611384e+00,4.362661201181e+00,4.735457114585e-01
7,280,8.213511510459e-01,6.592527103201e+00,4.465278454821e+00,4.735457114585e-01
8,320,6.573695210843e-01,6.930002459762e+00,6.966314603902e+00,4.735457114585e-01
9,360,2.383100845246e-01,5.394066357551e+00,4.143479286201e+00,2.383100845246e-01
10,400,4.089178156736e-01,4.190436538343e+00,4.007148209758e+00,2.383100845246e-01
11,440,6.744766937315e-01,4.588421557191e+00,3.654379109952e+00,2.383100845246e-01
12,480,5.857952962957e-01,3.514292028609e+00,2.438223960124e+00,2.383100845246e-01
13,520,1.481091974620e-01,3.519509475116e+00,2.762086723881e+00,1.481091974620e-01
14,560,1.485753751867e-01,2.715136302817e+00,1.919329476041e+00,1.481091974620e-01
15,600,5.385632366708e-01,3.225978031646e+00,2.543988081935e+00,1.481091974620e-01
16,640,6.815942900460e-02,2.819112377200e+00,2.399382501324e+00,6.815942900460e-02
17,680,1.901652136629e-01,2.376616295103e+00,2.363442566964e+00,6.815942900460e-02
18,720,2.038949692709e-02,2.746041601052e+00,2.694350977519e+00,2.038949692709e-02
19,760,2.444618224374e-01,2.213161208496e+00,1.849551248926e+00,2.038949692709e-02
20,800,1.044861211861e-01,2.204738418793e+00,1.897554515104e+00,2.038949692709e-02
21,840,6.609776040375e-01,2.214875721835e+00,2.150432692319e+00,2.038949692709e-02
22,880,6.938825536549e-02,1.763650623095e+00,1.075138930845e+00,2.038949692709e-02
23,920,1.861957815033e-02,1.673356772613e+00,1.317316384881e+00,1.861957815033e-02
24,960,7.534319086004e-02,1.403258545583e+00,8.784008156960e-01,1.861957815033e-02
25,1000,1.692366977166e-01,1.584948275791e+00,1.149381233088e+00,1.861957815033e-02
26,1040,2.261656539085e-01,1.586864635214e+00,1.075679673965e+00,1.861957815033e-02
27,1080,5.081451017890e-01,2.106703503786e+00,2.902639587201e+00,1.861957815033e-02
28,1120,3.206895887725e-02,1.201797594417e+00,6.193402003786e-01,1.861957815033e-02
29,1160,2.854042724790e-01,1.758545655807e+00,1.979594810220e+00,1.861957815033e-02
30,1200,1.846150149610e-01,1.147010327088e+00,5.700253795684e-01,1.861957815033e-02
31,1240,1.639432061015e-01,1.479782798299e+00,9.828287310418e-01,1.861957815033e-02
32,1280,1.837055376826e-01,1.533108958726e+00,8.814291882010e-01,1.861957815033e-02
33,1320,1.269082119652e-01,1.222701726341e+00,6.013148154767e-01,1.861957815033e-02
34,1360,4.252096641078e-03,1.094680206397e+00,6.200294531962e-01,4.252096641078e-03
35,1400,2.258504498996e-04,1.375407382669e+00,8.699407072691e-01,2.258504498996e-04
36,1440,2.108488261691e-02,1.157417773186e+00,8.535491939753e-01,2.258504498996e-04
37,1480,9.400440209773e-03,1.266307866119e+00,6.041101721666e-01,2.258504498996e-04
38,1520,1.641745119315e-02,1.264718869593e+00,1.043615382038e+00,2.258504498996e-04
39,1560,5.570057002952e-02,1.225210812655e+00,7.140268803382e-01,2.258504498996e-04
40,1600,1.579741303643e-02,1.251398849602e+00,1.309275219423e+00,2.258504498996e-04
41,1640,7.406081537176e-03,1.294013993943e+00,8.053476549664e-01,2.258504498996e-04
42,1680,7.804324478628e-03,1.239998754168e+00,8.408188286484e-01,2.258504498996e-04
43,1720,3.323544547966e-02,1.104009209375e+00,5.573675268332e-01,2.258504498996e-04
44,1760,1.787251195683e-03,1.054352777596e+00,4.996270698815e-01,2.258504498996e-04
45,1800,2.760540566232e-02,1.090723967973e+00,7.252231824511e-01,2.258504498996e-04
46,1840,7.005295783048e-03,1.163723320696e+00,6.028835566656e-01,2.258504498996e-04
47,1880,7.229539101488e-03,8.985080215892e-01,5.321390537839e-01,2.258504498996e-04
48,1920,1.069073285405e-04,1.007108266700e+00,4.937194527629e-01,1.069073285405e-04
49,1960,1.363510529963e-02,9.491233358148e-01,4.854444526506e-01,1.069073285405e-04
50,2000,1.482194139938e-02,1.119837560511e+00,6.691627527300e-01,1.069073285405e-04
51,2040,1.412581901814e-02,1.254760845885e+00,6.821249852632e-01,1.069073285405e-04
52,2080,4.257338662574e-03,1.026366752208e+00,5.635392344246e-01,1.069073285405e-04
53,2120,4.426896930655e-03,1.027264675739e+00,6.899904822875e-01,1.069073285405e-04
54,2160,1.241816553503e-04,1.158442495625e+00,7.225601872787e-01,1.069073285405e-04
55,2200,1.508598028271e-03,1.044775144038e+00,9.650228546090e-01,1.069073285405e-04
56,2240,1.242688560570e-03,9.767770942215e-01,6.271105257390e-01,1.069073285405e-04
57,2280,3.638179472546e-03,1.009271859450e+00,7.095678124061e-01,1.069073285405e-04
58,2320,5.803001000516e-04,1.070317566864e+00,7.561158978107e-01,1.069073285405e-04
59,2360,2.949232930477e-04,1.053969015740e+00,6.994490047687e-01,1.069073285405e-04
60,2400,3.713568602510e-04,9.551409209590e-01,6.359060068247e-01,1.069073285405e-04
61,2440,4.999092841299e-04,9.926009428942e-01,6.681629716777e-01,1.069073285405e-04
62,2480,1.008853593968e-03,9.888257630680e-01,5.866161014068e-01,1.069073285405e-04
63,2520,4.926069091399e-04,1.111476978574e+00,7.597545327405e-01,1.069073285405e-04
64,2560,7.679871089699e-04,1.174265858836e+00,7.070902692308e-01,1.069073285405e-04
65,2600,7.608864088104e-05,8.264490602671e-01,6.848553961349e-01,7.608864088104e-05
66,2640,6.283581334812e-04,9.202418879230e-01,6.003965393554e-01,7.608864088104e-05
67,2680,4.997157612618e-05,9.785646711938e-01,6.533720649733e-01,4.997157612618e-05
68,2720,1.087594753664e-04,9.347616326272e-01,6.346918111394e-01,4.997157612618e-05
69,2760,8.163154795127e-06,9.357174552321e-01,6.914334742659e-01,8.163154795127e-06
70,2800,1.694066832769e-05,8.979042002373e-01,6.797360289595e-01,8.163154795127e-06
71,2840,5.307706272051e-06,9.346768310681e-01,6.610013710426e-01,5.307706272051e-06
72,2880,1.081602538866e-06,8.588060304255e-01,5.850407596742e-01,1.081602538866e-06
73,2920,1.899968542496e-07,8.991977792451e-01,6.168983835775e-01,1.899968542496e-07
