iter,evals,f_best,f_mean,f_std,gbest_f
1,40,2.839796272352e+01,1.527981470765e+02,6.467155119667e+01,2.839796272352e+01
2,80,1.206037857445e+01,6.587820990232e+01,3.192855814448e+01,1.206037857445e+01
3,120,6.387574866043e+00,2.890533192304e+01,1.599160934343e+01,6.387574866043e+00
4,160,7.463477353296e+00,2.972191555846e+01,1.394859126989e+01,6.387574866043e+00
5,200,4.755385859508e+00,2.208806670861e+01,1.121780408536e+01,4.755385859508e+00
6,240,3.992723996842e+00,1.755295902995e+01,1.134556541672e+01,3.992723996842e+00
7,280,1.965116247005e+00,1.965493446245e+01,1.240038827818e+01,1.965116247005e+00
8,320,2.244211827950e+00,1.151292291265e+01,8.562994531716e+00,1.965116247005e+00
9,360,2.005534126274e+00,1.301912936329e+01,8.103134519579e+00,1.965116247005e+00
10,400,1.279276487236e+00,9.882527947200e+00,6.621241924346e+00,1.279276487236e+00
11,440,2.547142962410e+00,9.071915176575e+00,7.204538809502e+00,1.279276487236e+00
12,480,1.540271788231e+00,7.379828119035e+00,5.586750930770e+00,1.279276487236e+00
13,520,1.096603366147e+00,6.811878785270e+00,5.837655021665e+00,1.096603366147e+00
14,560,1.795566400854e+00,6.593394901908e+00,4.175342622587e+00,1.096603366147e+00
15,600,1.737465772685e+00,7.739308367347e+00,4.885053333266e+00,1.096603366147e+00
16,640,1.027236935731e+00,5.868322243461e+00,4.938793753858e+00,1.027236935731e+00
17,680,1.107752084032e+00,5.744962462624e+00,4.372870575484e+00,1.027236935731e+00
18,720,8.899852597978e-01,5.170458562040e+00,3.761230443347e+00,8.899852597978e-01
19,760,1.200082762697e+00,5.102568757629e+00,3.684392289607e+00,8.899852597978e-01
20,800,1.272601111114e+00,4.553747712748e+00,3.101452299966e+00,8.899852597978e-01
21,840,1.295421175323e+00,3.388230150180e+00,2.026630339614e+00,8.899852597978e-01
22,880,7.773023505982e-01,4.441724452830e+00,4.321404954119e+00,7.773023505982e-01
23,920,9.556012179612e-01,3.197934867655e+00,2.358314549340e+00,7.773023505982e-01
24,960,1.128053956679e+00,3.564830065825e+00,2.816926064895e+00,7.773023505982e-01
25,1000,7.766820112556e-01,3.432428036823e+00,2.797932697110e+00,7.766820112556e-01
26,1040,1.042223654692e+00,2.698629532254e+00,2.032400729532e+00,7.766820112556e-01
27,1080,7.171064499484e-01,3.226825897065e+00,2.574728110228e+00,7.171064499484e-01
28,1120,1.125873177911e+00,2.986189011695e+00,1.859263474971e+00,7.171064499484e-01
29,1160,6.047902838416e-01,3.439064201904e+00,2.463231720270e+00,6.047902838416e-01
30,1200,6.628218060497e-01,3.301614218955e+00,2.386714570413e+00,6.047902838416e-01
31,1240,1.162976710561e+00,3.382236319719e+00,2.974726043787e+00,6.047902838416e-01
32,1280,8.036453361398e-01,3.131619738778e+00,2.840426821595e+00,6.047902838416e-01
33,1320,8.954939320281e-01,3.162246044647e+00,2.412700332159e+00,6.047902838416e-01
34,1360,5.454242902200e-01,3.114174636008e+00,3.203778088041e+00,5.454242902200e-01
35,1400,1.101481194649e+00,3.184817437144e+00,2.953588241388e+00,5.454242902200e-01
36,1440,1.115745640750e+00,2.743367208912e+00,2.259493813275e+00,5.454242902200e-01
37,1480,1.109376802618e+00,2.379497845398e+00,1.764425146395e+00,5.454242902200e-01
38,1520,1.016471736296e+00,2.396962813179e+00,1.699471642739e+00,5.454242902200e-01
39,1560,9.223779637901e-01,2.176009547070e+00,2.136132022543e+00,5.454242902200e-01
40,1600,6.901688999663e-01,2.098079787842e+00,1.415138806523e+00,5.454242902200e-01
41,1640,9.878135310754e-01,2.189848257612e+00,1.742817503961e+00,5.454242902200e-01
42,1680,8.146492157420e-01,2.266303116661e+00,1.970203390263e+00,5.454242902200e-01
43,1720,7.979380008740e-01,1.928515231557e+00,1.154487080851e+00,5.454242902200e-01
44,1760,8.692413848232e-01,2.246154609746e+00,1.853491224452e+00,5.454242902200e-01
45,1800,1.061103298349e+00,2.419672696535e+00,2.775800963900e+00,5.454242902200e-01
46,1840,7.205817429512e-01,1.817534748072e+00,1.114737618855e+00,5.454242902200e-01
47,1880,5.635162881419e-01,2.105224493136e+00,1.798342805556e+00,5.454242902200e-01
48,1920,9.417672312485e-01,2.159136811833e+00,3.361021826259e+00,5.454242902200e-01
49,1960,9.739241676347e-01,2.049080319353e+00,1.628496176705e+00,5.454242902200e-01
50,2000,6.928121343953e-01,1.555648688085e+00,6.270197631979e-01,5.454242902200e-01
51,2040,6.692155551698e-01,1.768828956314e+00,1.296052413019e+00,5.454242902200e-01
52,2080,8.752894303915e-01,1.625047450833e+00,1.070377469484e+00,5.454242902200e-01
53,2120,4.031020937630e-01,1.471202765719e+00,4.722649439399e-01,4.031020937630e-01
54,2160,7.477328471641e-01,1.522836332212e+00,7.981646476010e-01,4.031020937630e-01
55,2200,8.247898397632e-01,1.395310363621e+00,3.666513530419e-01,4.031020937630e-01
56,2240,7.114572108783e-01,1.589588122632e+00,5.459963862643e-01,4.031020937630e-01
57,2280,8.119006346297e-01,1.460373172056e+00,4.603733902609e-01,4.031020937630e-01
58,2320,7.082674351803e-01,1.428301162305e+00,5.505703440893e-01,4.031020937630e-01
59,2360,6.442188978885e-01,1.583496495449e+00,9.470722302212e-01,4.031020937630e-01
60,2400,3.333619295898e-01,1.477919345754e+00,5.617523045389e-01,3.333619295898e-01
61,2440,3.458534943409e-01,1.419899258598e+00,5.406789467859e-01,3.333619295898e-01
62,2480,6.455346141399e-01,1.605671278823e+00,1.198657168482e+00,3.333619295898e-01
63,2520,5.246687321337e-01,1.437458356549e+00,6.175973992969e-01,3.333619295898e-01
64,2560,2.515038683980e-01,1.536492964866e+00,9.240188147397e-01,2.515038683980e-01
65,2600,7.348430458352e-01,1.786502999764e+00,2.359724644443e+00,2.515038683980e-01
66,2640,6.119291192374e-01,1.523871284303e+00,5.579726059873e-01,2.515038683980e-01
67,2680,5.135813379360e-01,1.495015276161e+00,1.033126382918e+00,2.515038683980e-01
68,2720,3.217352071363e-01,1.422419043457e+00,5.763905284970e-01,2.515038683980e-01
69,2760,4.907266802188e-01,1.494757710791e+00,9.426374648075e-01,2.515038683980e-01
70,2800,3.264560860105e-01,1.458153318625e+00,5.345008878875e-01,2.515038683980e-01
71,2840,6.162491677792e-01,1.426847803865e+00,6.392197221055e-01,2.515038683980e-01
72,2880,4.873457993696e-01,1.421624742365e+00,6.873326788816e-01,2.515038683980e-01
73,2920,3.184853239687e-01,1.509361517679e+00,9.829945042272e-01,2.515038683980e-01
74,2960,3.889612396862e-01,1.432821885816e+00,6.523999248938e-01,2.515038683980e-01
75,3000,3.715782229553e-01,1.482674388273e+00,7.393863510216e-01,2.515038683980e-01
76,3040,4.756752892522e-01,1.401062703001e+00,5.089374201109e-01,2.515038683980e-01
77,3080,4.033714768152e-01,1.519854847182e+00,7.910107879999e-01,2.515038683980e-01
78,3120,4.014118808268e-01,1.378346530359e+00,6.179246892699e-01,2.515038683980e-01
79,3160,2.443230094264e-01,1.434161546519e+00,7.229624220100e-01,2.443230094264e-01
80,3200,3.325819491457e-01,1.435060205763e+00,8.070147648063e-01,2.443230094264e-01
81,3240,3.037964525847e-01,1.325374469674e+00,5.734856042633e-01,2.443230094264e-01
82,3280,3.104878694129e-01,1.282108247337e+00,5.281961300963e-01,2.443230094264e-01
83,3320,2.358799192273e-01,1.386331184995e+00,8.614640946857e-01,2.358799192273e-01
84,3360,2.056396191792e-01,1.207865325329e+00,5.720970069161e-01,2.056396191792e-01
85,3400,2.089430496255e-01,1.277460966528e+00,4.827611592558e-01,2.056396191792e-01
86,3440,2.104616773545e-01,1.203099323687e+00,5.137730202485e-01,2.056396191792e-01
87,3480,2.012319711953e-01,1.198589742583e+00,4.921435725379e-01,2.012319711953e-01
88,3520,2.002940875711e-01,1.223023991126e+00,4.924221772289e-01,2.002940875711e-01
89,3560,1.984148625620e-01,1.157257959221e+00,4.327067140024e-01,1.984148625620e-01
90,3600,1.961547107427e-01,1.114378138525e+00,3.997545754124e-01,1.961547107427e-01
91,3640,1.982633163927e-01,1.183792598434e+00,3.907952407674e-01,1.961547107427e-01
