iter,evals,f_best,f_mean,f_std,gbest_f
1,40,4.256142660286e+01,1.366538953391e+02,5.396687437168e+01,4.256142660286e+01
2,80,1.306153076594e+01,5.895762348322e+01,2.265197758616e+01,1.306153076594e+01
3,120,4.225098842771e+00,1.520831625490e+01,8.174142756788e+00,4.225098842771e+00
4,160,4.306819009239e+00,2.614482387524e+01,1.051695278809e+01,4.225098842771e+00
5,200,2.015286332497e+00,1.286572039853e+01,9.381390256700e+00,2.015286332497e+00
6,240,1.457459316908e+00,1.493577317763e+01,8.920410368954e+00,1.457459316908e+00
7,280,1.424048978844e+00,9.956701477438e+00,7.101028604113e+00,1.424048978844e+00
8,320,1.895662697914e+00,1.109079377890e+01,6.947041635345e+00,1.424048978844e+00
9,360,1.727543355621e+00,1.036610785829e+01,7.888477230062e+00,1.424048978844e+00
10,400,1.296357445335e+00,7.816945227581e+00,4.968239849046e+00,1.296357445335e+00
11,440,1.575253907576e+00,8.482075200166e+00,4.549887029791e+00,1.296357445335e+00
12,480,1.479315615397e+00,7.304491453542e+00,4.861010786979e+00,1.296357445335e+00
13,520,1.482416965987e+00,6.259521325759e+00,4.789445062097e+00,1.296357445335e+00
14,560,1.364385320557e+00,6.588972653764e+00,5.549115132253e+00,1.296357445335e+00
15,600,1.385382220304e+00,5.691742131671e+00,4.201186209924e+00,1.296357445335e+00
16,640,1.560549040789e+00,5.422394442246e+00,3.538039952995e+00,1.296357445335e+00
17,680,1.092355200350e+00,5.095454554247e+00,3.581865560102e+00,1.092355200350e+00
18,720,1.358871270237e+00,4.149646629132e+00,2.461310223341e+00,1.092355200350e+00
19,760,1.018716266241e+00,4.663597373101e+00,3.130860992404e+00,1.018716266241e+00
20,800,1.142761800700e+00,4.056872269457e+00,2.670097644845e+00,1.018716266241e+00
21,840,1.078716881894e+00,3.983740080233e+00,3.047588298123e+00,1.018716266241e+00
22,880,1.131233658706e+00,3.923371123739e+00,2.878796358089e+00,1.018716266241e+00
23,920,1.087263065773e+00,3.761717650181e+00,3.292471982148e+00,1.018716266241e+00
24,960,1.058451117859e+00,3.534483229700e+00,2.557200448949e+00,1.018716266241e+00
25,1000,1.020724440573e+00,3.046144368767e+00,2.355565385984e+00,1.018716266241e+00
26,1040,1.049217363771e+00,3.480030075327e+00,3.464845432228e+00,1.018716266241e+00
27,1080,9.872592686241e-01,2.746236530295e+00,2.893546562983e+00,9.872592686241e-01
28,1120,1.144475629330e+00,2.695148520076e+00,1.895868780414e+00,9.872592686241e-01
29,1160,1.162282729912e+00,2.777125769477e+00,2.378064886090e+00,9.872592686241e-01
30,1200,9.213047771723e-01,2.890652717259e+00,2.392303085238e+00,9.213047771723e-01
31,1240,1.075369706420e+00,3.005964486513e+00,2.106847819995e+00,9.213047771723e-01
32,1280,9.664604000429e-01,2.647178433668e+00,2.885095662571e+00,9.213047771723e-01
33,1320,1.135742751232e+00,2.812323551283e+00,2.745936912879e+00,9.213047771723e-01
34,1360,1.059924897173e+00,2.346471837212e+00,1.475744778094e+00,9.213047771723e-01
35,1400,9.730008156083e-01,2.348250989741e+00,1.590454983938e+00,9.213047771723e-01
36,1440,1.063193081625e+00,2.282755163191e+00,1.552766264430e+00,9.213047771723e-01
37,1480,1.151422285480e+00,2.099986389402e+00,1.045897458272e+00,9.213047771723e-01
38,1520,8.921346420531e-01,2.234550588854e+00,1.568493892614e+00,8.921346420531e-01
39,1560,1.062573415694e+00,2.058183504078e+00,9.399204853715e-01,8.921346420531e-01
40,1600,7.383868140503e-01,2.133728077646e+00,1.624868272611e+00,7.383868140503e-01
41,1640,9.713761210435e-01,1.776644990353e+00,1.030675860646e+00,7.383868140503e-01
42,1680,9.132619222722e-01,2.228314785078e+00,1.484144733890e+00,7.383868140503e-01
43,1720,9.401155900469e-01,2.008375154226e+00,1.418339497706e+00,7.383868140503e-01
44,1760,9.872990413204e-01,2.255368439007e+00,2.121654180078e+00,7.383868140503e-01
45,1800,8.393479848158e-01,2.210019075984e+00,1.955004052211e+00,7.383868140503e-01
46,1840,9.185820762925e-01,2.375999904241e+00,2.292028629917e+00,7.383868140503e-01
47,1880,9.567709915795e-01,1.778438782370e+00,1.312364158524e+00,7.383868140503e-01
48,1920,9.404790717346e-01,1.898777501161e+00,1.101854348177e+00,7.383868140503e-01
49,1960,7.334720778426e-01,1.813102967748e+00,1.332330274071e+00,7.334720778426e-01
50,2000,7.135742935743e-01,1.965160590758e+00,1.070436011413e+00,7.135742935743e-01
51,2040,6.672149378413e-01,1.826580843136e+00,1.215022359144e+00,6.672149378413e-01
52,2080,7.259161785971e-01,1.699680638599e+00,8.671451479949e-01,6.672149378413e-01
53,2120,7.412326113008e-01,1.744674989668e+00,9.689075594628e-01,6.672149378413e-01
54,2160,8.218705630218e-01,1.487170377877e+00,4.732755617071e-01,6.672149378413e-01
55,2200,8.749405163373e-01,1.611162974710e+00,7.184264895381e-01,6.672149378413e-01
56,2240,4.355663734363e-01,1.477039692470e+00,6.807947018459e-01,4.355663734363e-01
57,2280,1.041558266800e+00,1.755260318614e+00,9.222122638193e-01,4.355663734363e-01
58,2320,5.671550139612e-01,1.653879123255e+00,1.062217419484e+00,4.355663734363e-01
59,2360,4.712438162055e-01,1.462314540079e+00,4.995527145640e-01,4.355663734363e-01
60,2400,9.183882797398e-01,1.716181653381e+00,9.468683835876e-01,4.355663734363e-01
61,2440,7.989240960690e-01,1.474501749928e+00,5.173900003241e-01,4.355663734363e-01
62,2480,6.623433320157e-01,1.611777752747e+00,6.160617216748e-01,4.355663734363e-01
63,2520,7.545876362477e-01,1.555228600303e+00,7.258547809731e-01,4.355663734363e-01
64,2560,9.014696573703e-01,1.534703305206e+00,7.884550309000e-01,4.355663734363e-01
65,2600,6.925095971279e-01,1.517588263183e+00,8.820749471156e-01,4.355663734363e-01
66,2640,7.113650183492e-01,1.543349156135e+00,7.306774475707e-01,4.355663734363e-01
67,2680,9.312292792031e-01,1.585806447243e+00,6.586596767842e-01,4.355663734363e-01
68,2720,7.075934510282e-01,1.507072121241e+00,5.913938734319e-01,4.355663734363e-01
69,2760,7.471974163725e-01,1.604125339391e+00,8.882148812757e-01,4.355663734363e-01
70,2800,8.388338307517e-01,1.455968065230e+00,9.695616590443e-01,4.355663734363e-01
71,2840,7.347590828809e-01,1.613165164262e+00,1.719291546675e+00,4.355663734363e-01
72,2880,7.827458620527e-01,1.351549081644e+00,4.579517303926e-01,4.355663734363e-01
