iter,evals,f_best,f_mean,f_std,gbest_f
1,40,2.684677431456e+01,1.549964710674e+02,5.902918417155e+01,2.684677431456e+01
2,80,1.788428614461e+01,5.899205868108e+01,2.503148743384e+01,1.788428614461e+01
3,120,5.141816323355e+00,2.235371939255e+01,1.555789670339e+01,5.141816323355e+00
4,160,1.042882539728e+01,3.154820584511e+01,1.446664888073e+01,5.141816323355e+00
5,200,2.380351132829e+00,1.769404795122e+01,1.016214445259e+01,2.380351132829e+00
6,240,2.256062321970e+00,1.376542975389e+01,6.945857770381e+00,2.256062321970e+00
7,280,2.255089169430e+00,1.643014481821e+01,1.265813028421e+01,2.255089169430e+00
8,320,1.429208968753e+00,1.226676846282e+01,8.482154788746e+00,1.429208968753e+00
9,360,2.677710216295e+00,1.144241302441e+01,6.834593425733e+00,1.429208968753e+00
10,400,2.136596798803e+00,9.051649119467e+00,6.686808582713e+00,1.429208968753e+00
11,440,1.883231323236e+00,8.128963425193e+00,4.803579404255e+00,1.429208968753e+00
12,480,1.740669253899e+00,7.581462009910e+00,5.421952630913e+00,1.429208968753e+00
13,520,1.085025449064e+00,6.087584143381e+00,3.971778155958e+00,1.085025449064e+00
14,560,1.323560556223e+00,5.289806326315e+00,3.548280877365e+00,1.085025449064e+00
15,600,1.733549648018e+00,5.143036234685e+00,3.754584609407e+00,1.085025449064e+00
16,640,1.069001874881e+00,4.581762586761e+00,2.818863648379e+00,1.069001874881e+00
17,680,1.096909679766e+00,4.258109027873e+00,2.222633246917e+00,1.069001874881e+00
18,720,8.898531657963e-01,4.099634727754e+00,3.308661137339e+00,8.898531657963e-01
19,760,1.113846526534e+00,3.700231114029e+00,2.304686728668e+00,8.898531657963e-01
20,800,7.370816318423e-01,3.767368671909e+00,2.531975652140e+00,7.370816318423e-01
21,840,8.849012547799e-01,3.756463707550e+00,2.866933804698e+00,7.370816318423e-01
22,880,9.109816997520e-01,3.735173378975e+00,3.517754902360e+00,7.370816318423e-01
23,920,1.024559756434e+00,2.855904839698e+00,1.872544251209e+00,7.370816318423e-01
24,960,7.525286649688e-01,3.251099868871e+00,3.422184965744e+00,7.370816318423e-01
25,1000,1.167308828678e+00,2.811333111280e+00,2.329461786293e+00,7.370816318423e-01
26,1040,1.047364268940e+00,3.037062664928e+00,2.330534261623e+00,7.370816318423e-01
27,1080,1.069833040578e+00,2.694532651409e+00,2.269039346681e+00,7.370816318423e-01
