iter,evals,f_best,f_mean,f_std,gbest_f
1,40,4.712669793309e+01,1.606651744460e+02,6.827084112744e+01,4.712669793309e+01
2,80,1.773749630732e+01,7.106662185211e+01,3.219927720237e+01,1.773749630732e+01
3,120,2.944218238038e+00,2.579720377676e+01,1.655127631834e+01,2.944218238038e+00
4,160,8.727336272821e+00,2.444713335071e+01,1.275417352089e+01,2.944218238038e+00
5,200,5.582985395344e+00,2.344349115763e+01,1.353923702419e+01,2.944218238038e+00
6,240,3.282052365258e+00,1.699072581416e+01,9.623298974417e+00,2.944218238038e+00
7,280,3.792970287346e+00,1.610601129577e+01,8.748751002262e+00,2.944218238038e+00
8,320,1.996506308466e+00,1.092902567115e+01,7.255289502999e+00,1.996506308466e+00
9,360,1.968924203343e+00,1.411618613584e+01,7.792048396375e+00,1.968924203343e+00
10,400,1.932885604759e+00,8.289505755366e+00,5.748255136139e+00,1.932885604759e+00
11,440,1.775686882011e+00,1.046587338510e+01,6.463237709487e+00,1.775686882011e+00
12,480,2.155221001112e+00,1.021984294687e+01,8.543851081228e+00,1.775686882011e+00
13,520,1.409108050585e+00,6.450534177197e+00,3.973854251040e+00,1.409108050585e+00
14,560,1.746318692567e+00,6.635180421531e+00,5.294440383181e+00,1.409108050585e+00
15,600,1.500875066581e+00,6.542667027953e+00,4.148455848130e+00,1.409108050585e+00
16,640,1.513572028286e+00,5.894791794012e+00,3.667849389299e+00,1.409108050585e+00
17,680,1.249896468383e+00,5.585491523233e+00,5.151561249359e+00,1.249896468383e+00
18,720,9.353194678045e-01,4.401721586734e+00,3.378814008350e+00,9.353194678045e-01
19,760,1.279984398038e+00,4.743691733594e+00,4.551968480071e+00,9.353194678045e-01
20,800,8.044082549863e-01,4.523715094457e+00,4.668268899413e+00,8.044082549863e-01
21,840,1.091577813072e+00,4.119425976296e+00,4.009638394188e+00,8.044082549863e-01
22,880,1.215558116720e+00,3.752401153172e+00,3.463997800103e+00,8.044082549863e-01
23,920,1.013462023393e+00,3.378311308318e+00,2.541289381231e+00,8.044082549863e-01
