iter,evals,f_best,f_mean,f_std,gbest_f
1,40,2.313121263009e+01,1.419312479321e+02,5.953809747120e+01,2.313121263009e+01
2,80,1.332907024990e+01,5.693916747276e+01,2.721021146278e+01,1.332907024990e+01
3,120,2.745946646141e+00,2.245049544963e+01,1.314817107845e+01,2.745946646141e+00
4,160,6.882388968925e+00,2.563838453423e+01,1.190283750740e+01,2.745946646141e+00
5,200,2.180255591303e+00,1.863194854735e+01,1.298449361761e+01,2.180255591303e+00
6,240,1.735185106931e+00,1.813542465254e+01,9.641717574605e+00,1.735185106931e+00
7,280,2.318368671139e+00,1.191760738188e+01,7.982616132356e+00,1.735185106931e+00
8,320,3.486565786836e+00,1.336733890095e+01,8.181692452586e+00,1.735185106931e+00
9,360,2.628408528262e+00,1.057412604689e+01,6.599665141325e+00,1.735185106931e+00
10,400,1.980210536857e+00,9.299375727062e+00,5.986259832527e+00,1.735185106931e+00
11,440,2.017586915026e+00,9.341492872541e+00,5.866776308614e+00,1.735185106931e+00
12,480,1.572997903454e+00,7.680944716826e+00,5.037318765585e+00,1.572997903454e+00
13,520,1.573512706971e+00,7.883755819367e+00,5.894469956941e+00,1.572997903454e+00
14,560,1.456862209294e+00,6.346309908005e+00,4.625289682523e+00,1.456862209294e+00
15,600,1.077955200672e+00,5.462782138543e+00,3.632190789147e+00,1.077955200672e+00
16,640,1.297108438890e+00,5.273227806343e+00,3.814389288503e+00,1.077955200672e+00
17,680,9.287299524646e-01,4.999572466260e+00,3.964691298016e+00,9.287299524646e-01
18,720,1.046516183911e+00,5.032443935531e+00,4.089012698649e+00,9.287299524646e-01
19,760,1.337977767465e+00,4.090177888205e+00,2.645968764760e+00,9.287299524646e-01
20,800,1.206907805111e+00,4.622521541113e+00,4.364165069581e+00,9.287299524646e-01
21,840,7.652606995868e-01,4.147121451628e+00,3.760528094574e+00,7.652606995868e-01
22,880,1.119786587133e+00,3.808914067512e+00,2.896603872109e+00,7.652606995868e-01
23,920,1.153847755037e+00,3.654349358201e+00,2.424851012864e+00,7.652606995868e-01
24,960,8.795272309799e-01,3.405764818385e+00,2.655215678444e+00,7.652606995868e-01
25,1000,1.063169902709e+00,3.602988682894e+00,4.166734495532e+00,7.652606995868e-01
26,1040,1.020427783279e+00,3.528170732809e+00,3.242563597500e+00,7.652606995868e-01
27,1080,6.856698878185e-01,2.646435548436e+00,2.376767163485e+00,6.856698878185e-01
28,1120,1.082368446367e+00,2.766285021646e+00,2.636899883841e+00,6.856698878185e-01
29,1160,5.854451739002e-01,2.562460944797e+00,2.058382878296e+00,5.854451739002e-01
30,1200,5.709960975101e-01,2.330252353824e+00,1.854027949509e+00,5.709960975101e-01
31,1240,9.001991825914e-01,2.180308212322e+00,1.313722231251e+00,5.709960975101e-01
32,1280,9.455401194941e-01,2.411884367679e+00,2.023371436252e+00,5.709960975101e-01
33,1320,7.446505360503e-01,2.514196340025e+00,2.109826073550e+00,5.709960975101e-01
34,1360,7.258887829196e-01,2.096029509008e+00,1.594287856650e+00,5.709960975101e-01
35,1400,1.006648811252e+00,2.382266258172e+00,2.299868995135e+00,5.709960975101e-01
36,1440,6.950180415235e-01,2.016849640871e+00,1.466881606323e+00,5.709960975101e-01
37,1480,4.815293059034e-01,1.886921276066e+00,1.156763152706e+00,4.815293059034e-01
38,1520,9.752731165910e-01,1.915479238361e+00,8.601003674731e-01,4.815293059034e-01
39,1560,7.983829936556e-01,2.105814875196e+00,1.563014946242e+00,4.815293059034e-01
40,1600,7.752469611858e-01,1.836285772165e+00,9.495879201202e-01,4.815293059034e-01
41,1640,1.039318150388e+00,2.196849064543e+00,2.551911042354e+00,4.815293059034e-01
42,1680,9.096620928427e-01,1.729653669525e+00,8.888081820237e-01,4.815293059034e-01
43,1720,9.394600085717e-01,2.186491590167e+00,2.085038163003e+00,4.815293059034e-01
44,1760,7.343555699157e-01,1.617774127863e+00,7.518197058726e-01,4.815293059034e-01
45,1800,6.760858674267e-01,1.876971658275e+00,1.436572364818e+00,4.815293059034e-01
46,1840,8.045831743600e-01,1.510234743695e+00,6.497683874405e-01,4.815293059034e-01
47,1880,7.844525321520e-01,1.808769784509e+00,1.766556706826e+00,4.815293059034e-01
48,1920,7.611095152968e-01,1.528104903757e+00,5.133765766767e-01,4.815293059034e-01
49,1960,9.019058724570e-01,1.488769024234e+00,6.300985874919e-01,4.815293059034e-01
50,2000,1.042156362163e+00,1.464865130414e+00,5.475584890453e-01,4.815293059034e-01
51,2040,6.058933212232e-01,1.462791042389e+00,6.071199020042e-01,4.815293059034e-01
52,2080,5.557409421480e-01,1.456656109136e+00,9.563231005648e-01,4.815293059034e-01
53,2120,3.134842766481e-01,1.424622372889e+00,7.083004222147e-01,3.134842766481e-01
54,2160,6.858072323915e-01,1.423283492746e+00,7.191245107525e-01,3.134842766481e-01
55,2200,3.615242534624e-01,1.452715707036e+00,4.787472250043e-01,3.134842766481e-01
56,2240,5.276130350533e-01,1.372501520163e+00,4.588362651485e-01,3.134842766481e-01
57,2280,9.344672172573e-01,1.398114426862e+00,5.059305380897e-01,3.134842766481e-01
58,2320,3.239573528618e-01,1.300477404345e+00,3.406041574248e-01,3.134842766481e-01
59,2360,8.678685212427e-01,1.300211304246e+00,2.737653830202e-01,3.134842766481e-01
60,2400,4.059803836436e-01,1.200998062769e+00,3.174986980633e-01,3.134842766481e-01
61,2440,5.364505707051e-01,1.156685564447e+00,2.727730013605e-01,3.134842766481e-01
62,2480,6.524228051948e-01,1.284769972087e+00,3.082520246228e-01,3.134842766481e-01
63,2520,6.052834698879e-01,1.244423695913e+00,2.555727240011e-01,3.134842766481e-01
64,2560,5.752154203568e-01,1.237780145692e+00,3.769292166403e-01,3.134842766481e-01
65,2600,4.763684253689e-01,1.251547602562e+00,2.558185099436e-01,3.134842766481e-01
66,2640,5.299026101581e-01,1.189589602299e+00,3.014999207794e-01,3.134842766481e-01
67,2680,6.293487979764e-01,1.233447661952e+00,2.432013984300e-01,3.134842766481e-01
68,2720,2.681267701181e-01,1.221450764451e+00,3.249148781482e-01,2.681267701181e-01
69,2760,5.374129235211e-01,1.208184233484e+00,2.856582797071e-01,2.681267701181e-01
70,2800,4.547796685713e-01,1.216928623758e+00,3.371732393730e-01,2.681267701181e-01
71,2840,3.725445772594e-01,1.266334577321e+00,4.224083017567e-01,2.681267701181e-01
72,2880,3.415072407350e-01,1.293942929545e+00,3.739081648697e-01,2.681267701181e-01
73,2920,1.832248587041e-01,1.207094385746e+00,3.759737319959e-01,1.832248587041e-01
74,2960,7.213744239991e-01,1.326620085055e+00,4.208545343063e-01,1.832248587041e-01
75,3000,7.434582784938e-01,1.291354729976e+00,4.809953347092e-01,1.832248587041e-01
76,3040,4.161131309050e-01,1.366744027584e+00,6.041614023330e-01,1.832248587041e-01
77,3080,6.404517249133e-01,1.286507495071e+00,3.861980125661e-01,1.832248587041e-01
78,3120,6.374434061660e-01,1.360199708498e+00,4.564489586104e-01,1.832248587041e-01
79,3160,4.620158823791e-01,1.250159453277e+00,3.343186373361e-01,1.832248587041e-01
80,3200,5.158092714377e-01,1.273591972770e+00,3.467999438240e-01,1.832248587041e-01
81,3240,5.620021688170e-01,1.433793336724e+00,6.829162757217e-01,1.832248587041e-01
82,3280,7.346991361335e-01,1.263454738091e+00,2.516841469305e-01,1.832248587041e-01
83,3320,6.600047332171e-01,1.238786024358e+00,4.129838170008e-01,1.832248587041e-01
84,3360,6.084951817312e-01,1.288203185271e+00,4.905262248499e-01,1.832248587041e-01
85,3400,5.232158310496e-01,1.357260489632e+00,7.362039920674e-01,1.832248587041e-01
