iter,evals,f_best,f_mean,f_std,gbest_f
1,40,2.980624405988e+01,1.402709000411e+02,6.136209641056e+01,2.980624405988e+01
2,80,1.024086224646e+01,5.249454265968e+01,2.744043401010e+01,1.024086224646e+01
3,120,5.604164458898e+00,2.442482184608e+01,1.416315552241e+01,5.604164458898e+00
4,160,9.470597971426e+00,3.036931454495e+01,1.475266336039e+01,5.604164458898e+00
5,200,3.273816543229e+00,1.877532402891e+01,1.008097728600e+01,3.273816543229e+00
6,240,3.413715835241e+00,1.523080359809e+01,9.447788740314e+00,3.273816543229e+00
7,280,2.233627289225e+00,1.506580745712e+01,9.922534187627e+00,2.233627289225e+00
8,320,2.503502978771e+00,1.099647010130e+01,6.723631449116e+00,2.233627289225e+00
9,360,1.097663218261e+00,9.986658130844e+00,8.168385768629e+00,1.097663218261e+00
10,400,1.573832604272e+00,8.823537961093e+00,6.559411626468e+00,1.097663218261e+00
11,440,1.630621317530e+00,9.312718751014e+00,6.736191267788e+00,1.097663218261e+00
12,480,1.144256161428e+00,7.195288069003e+00,4.735257611470e+00,1.097663218261e+00
13,520,1.239480509733e+00,6.132368315537e+00,4.078529570208e+00,1.097663218261e+00
14,560,1.279795944332e+00,5.685057432916e+00,4.803851733283e+00,1.097663218261e+00
15,600,1.523953880158e+00,5.456020439040e+00,4.906260955916e+00,1.097663218261e+00
16,640,1.252951005279e+00,4.918216217598e+00,3.785401838448e+00,1.097663218261e+00
17,680,1.246377512620e+00,4.096888585980e+00,3.079360131697e+00,1.097663218261e+00
18,720,1.135439619603e+00,3.756656057643e+00,2.162900237199e+00,1.097663218261e+00
19,760,1.345304247327e+00,3.569524463060e+00,2.893350962533e+00,1.097663218261e+00
20,800,1.165263400075e+00,3.178257353817e+00,1.729757151334e+00,1.097663218261e+00
21,840,8.184274778615e-01,3.050301028494e+00,1.815818453945e+00,8.184274778615e-01
22,880,1.008634117648e+00,2.848075470434e+00,2.183905112538e+00,8.184274778615e-01
23,920,1.272012954826e+00,2.567493181910e+00,1.440756695758e+00,8.184274778615e-01
24,960,1.316774562841e+00,2.571878994195e+00,1.730812136503e+00,8.184274778615e-01
25,1000,1.065982628646e+00,2.618508406937e+00,1.867610282618e+00,8.184274778615e-01
