iter,evals,f_best,f_mean,f_std,gbest_f
1,40,5.227500240318e+01,1.616626535726e+02,5.394215449638e+01,5.227500240318e+01
2,80,2.875280256526e+01,7.564652025614e+01,2.462585302715e+01,2.875280256526e+01
3,120,6.914515658111e+00,3.403183108488e+01,1.848254167671e+01,6.914515658111e+00
4,160,6.416671544249e+00,3.773048159441e+01,2.171332451926e+01,6.416671544249e+00
5,200,5.732247547446e+00,2.826370536634e+01,1.719123677378e+01,5.732247547446e+00
6,240,4.849481687298e+00,2.371736555923e+01,1.359258471718e+01,4.849481687298e+00
7,280,4.634217206660e+00,2.130195472536e+01,1.510385284783e+01,4.634217206660e+00
8,320,5.486124425425e+00,2.160275096970e+01,1.277468195782e+01,4.634217206660e+00
9,360,1.945184585517e+00,1.636268955321e+01,9.882419360033e+00,1.945184585517e+00
10,400,3.171270845979e+00,1.583769352519e+01,9.339300864600e+00,1.945184585517e+00
11,440,3.292126981887e+00,1.156881665389e+01,8.265474223790e+00,1.945184585517e+00
12,480,2.251913499887e+00,1.133269318383e+01,8.748086702075e+00,1.945184585517e+00
13,520,1.644711536413e+00,8.558984088977e+00,4.733175417319e+00,1.644711536413e+00
14,560,1.348718799637e+00,8.819581107219e+00,6.527234429632e+00,1.348718799637e+00
15,600,1.477433922244e+00,7.109840145413e+00,4.400882065801e+00,1.348718799637e+00
16,640,1.509877548876e+00,6.751972369635e+00,4.660265695694e+00,1.348718799637e+00
17,680,1.157556700176e+00,5.094802503562e+00,3.491510161566e+00,1.157556700176e+00
18,720,1.315458874905e+00,5.058848755080e+00,2.858318958653e+00,1.157556700176e+00
19,760,1.672165355464e+00,5.512174222730e+00,3.948596712444e+00,1.157556700176e+00
20,800,1.455070227906e+00,4.936244568169e+00,3.448850769016e+00,1.157556700176e+00
21,840,1.210312296887e+00,3.938083807131e+00,2.987951899925e+00,1.157556700176e+00
22,880,1.116693251299e+00,4.596266182828e+00,4.011899766292e+00,1.116693251299e+00
23,920,1.152216197196e+00,3.619024766597e+00,3.033364553459e+00,1.116693251299e+00
24,960,1.097041822159e+00,4.194046308697e+00,3.297132043841e+00,1.097041822159e+00
25,1000,7.635744999762e-01,3.760805769446e+00,3.320031781579e+00,7.635744999762e-01
26,1040,6.988139288504e-01,3.552413771763e+00,2.358810424097e+00,6.988139288504e-01
27,1080,9.612962866931e-01,3.000370858994e+00,2.133852781340e+00,6.988139288504e-01
28,1120,1.060208751141e+00,3.204674073826e+00,2.112554609443e+00,6.988139288504e-01
29,1160,1.075857173912e+00,2.878287054413e+00,2.769932921087e+00,6.988139288504e-01
30,1200,4.933108472700e-01,2.659981339577e+00,2.067692389356e+00,4.933108472700e-01
31,1240,7.962383348968e-01,2.827191611217e+00,2.482241894857e+00,4.933108472700e-01
32,1280,1.019611535234e+00,2.353255147576e+00,2.492232151852e+00,4.933108472700e-01
33,1320,6.588199276546e-01,2.081464822619e+00,1.312312630426e+00,4.933108472700e-01
34,1360,9.052084908388e-01,2.333865266987e+00,1.916624738019e+00,4.933108472700e-01
35,1400,9.290474270049e-01,1.963379303050e+00,1.668612008303e+00,4.933108472700e-01
36,1440,5.952050141783e-01,1.774701760799e+00,1.117137727346e+00,4.933108472700e-01
37,1480,9.631199352237e-01,1.622449736075e+00,7.071138157791e-01,4.933108472700e-01
38,1520,8.638580680650e-01,1.765276757154e+00,9.167840502168e-01,4.933108472700e-01
39,1560,3.110387304172e-01,1.563585039972e+00,9.639002940371e-01,3.110387304172e-01
40,1600,6.015996808524e-01,1.507781647206e+00,5.905576988287e-01,3.110387304172e-01
41,1640,7.881575801276e-01,1.521320082563e+00,7.224930693076e-01,3.110387304172e-01
42,1680,2.890613388746e-01,1.527818984570e+00,8.085034757145e-01,2.890613388746e-01
43,1720,5.570658981748e-01,1.656967430841e+00,1.299743620621e+00,2.890613388746e-01
44,1760,6.871249830468e-01,1.610922187502e+00,8.606827728106e-01,2.890613388746e-01
45,1800,7.257641689376e-01,1.719631219367e+00,1.149477042986e+00,2.890613388746e-01
46,1840,7.938166971026e-01,1.371759791511e+00,4.977902110865e-01,2.890613388746e-01
47,1880,3.514836450122e-01,1.391425331026e+00,6.681991843461e-01,2.890613388746e-01
48,1920,7.221831163182e-01,1.316844798161e+00,4.446375807669e-01,2.890613388746e-01
49,1960,7.727186168726e-01,1.386570385659e+00,6.023715574787e-01,2.890613388746e-01
50,2000,5.286475372744e-01,1.361786842689e+00,7.615627159413e-01,2.890613388746e-01
51,2040,6.656627384230e-01,1.285966128950e+00,4.449646579483e-01,2.890613388746e-01
52,2080,5.661836265096e-01,1.292744867725e+00,5.217943559236e-01,2.890613388746e-01
53,2120,4.285009852666e-01,1.235767032393e+00,4.072563051629e-01,2.890613388746e-01
54,2160,2.387151535353e-01,1.158434534678e+00,4.028107305755e-01,2.387151535353e-01
55,2200,5.062078791853e-01,1.249850199918e+00,4.162268695285e-01,2.387151535353e-01
56,2240,7.342793137219e-01,1.297779426381e+00,4.788640363302e-01,2.387151535353e-01
57,2280,4.642110701144e-01,1.217431374119e+00,5.238912073142e-01,2.387151535353e-01
58,2320,3.893919825579e-01,1.198815277119e+00,3.786941171604e-01,2.387151535353e-01
59,2360,8.100504085867e-01,1.232414125513e+00,2.930787786207e-01,2.387151535353e-01
60,2400,2.643112098765e-01,1.273370149879e+00,5.582814225534e-01,2.387151535353e-01
61,2440,4.461691363623e-01,1.246588876214e+00,3.675166912773e-01,2.387151535353e-01
62,2480,3.351531670312e-01,1.153995776307e+00,4.503942175886e-01,2.387151535353e-01
63,2520,4.102176031852e-01,1.283140178242e+00,4.403224824519e-01,2.387151535353e-01
64,2560,2.685105374985e-01,1.290246276317e+00,6.397091512712e-01,2.387151535353e-01
65,2600,2.467269408980e-01,1.229148505722e+00,4.441269650442e-01,2.387151535353e-01
66,2640,4.459867967206e-01,1.164963726977e+00,3.442815568394e-01,2.387151535353e-01
67,2680,4.049752113425e-01,1.323972992763e+00,5.839570570565e-01,2.387151535353e-01
68,2720,2.749605158872e-01,1.236402870564e+00,4.645723598261e-01,2.387151535353e-01
69,2760,1.746336222828e-01,1.200342167908e+00,4.511900820734e-01,1.746336222828e-01
70,2800,3.198437488575e-01,1.306475573540e+00,1.195688864345e+00,1.746336222828e-01
71,2840,1.964835743801e-01,1.112398422341e+00,3.530039077130e-01,1.746336222828e-01
72,2880,1.963247778451e-01,1.203319222144e+00,8.265160953306e-01,1.746336222828e-01
73,2920,2.935424059781e-01,1.089774760195e+00,3.478221485989e-01,1.746336222828e-01
74,2960,1.888988236344e-01,1.277833029621e+00,9.096614531395e-01,1.746336222828e-01
75,3000,1.729414502565e-01,1.133635659635e+00,3.910221160315e-01,1.729414502565e-01
76,3040,2.032654255289e-01,1.185977598434e+00,4.646305637976e-01,1.729414502565e-01
77,3080,1.717776175899e-01,1.184995781156e+00,4.954984707015e-01,1.717776175899e-01
78,3120,1.026679988863e-01,1.060057201001e+00,4.494541874958e-01,1.026679988863e-01
79,3160,9.713892585222e-02,1.166806026722e+00,5.891441114632e-01,9.713892585222e-02
80,3200,5.933948529360e-02,1.181236093493e+00,7.953503067102e-01,5.933948529360e-02
81,3240,4.952269585752e-02,1.173132471739e+00,7.782241331314e-01,4.952269585752e-02
82,3280,6.511101970088e-02,1.093633935633e+00,6.880272470574e-01,4.952269585752e-02
83,3320,4.654177283098e-02,1.211456044408e+00,9.157131236723e-01,4.654177283098e-02
84,3360,4.634721617667e-02,1.198428080423e+00,8.025859414955e-01,4.634721617667e-02
85,3400,5.059640148683e-02,1.116740877957e+00,5.998396162016e-01,4.634721617667e-02
86,3440,4.773764803303e-02,1.150646680283e+00,5.987281437894e-01,4.634721617667e-02
87,3480,4.625542827869e-02,1.119645404743e+00,6.451460156962e-01,4.625542827869e-02
88,3520,4.831537610557e-02,9.852155972123e-01,5.023491244142e-01,4.625542827869e-02
89,3560,4.666343597007e-02,1.037018154572e+00,5.520655913522e-01,4.625542827869e-02
90,3600,4.650824079973e-02,1.053062911707e+00,4.896887384277e-01,4.625542827869e-02
91,3640,4.650805142502e-02,1.113890617511e+00,5.611465145568e-01,4.625542827869e-02
92,3680,4.729162812067e-02,1.020016327381e+00,5.497724956413e-01,4.625542827869e-02
93,3720,4.657383215904e-02,9.936488521969e-01,4.984626114837e-01,4.625542827869e-02
94,3760,4.606016506038e-02,9.704592466389e-01,5.594714083817e-01,4.606016506038e-02
95,3800,4.626052321249e-02,9.523461422363e-01,5.453164645281e-01,4.606016506038e-02
96,3840,4.608059721974e-02,9.901868201123e-01,5.389654149665e-01,4.606016506038e-02
97,3880,4.616934344808e-02,8.996129918026e-01,4.804131677229e-01,4.606016506038e-02
98,3920,4.485362685053e-02,9.056705671816e-01,5.404937291098e-01,4.485362685053e-02
99,3960,4.484945984722e-02,8.729868204473e-01,4.942489646439e-01,4.484945984722e-02
100,4000,4.488158819627e-02,9.071802344811e-01,5.277332897192e-01,4.484945984722e-02
101,4040,4.503508092712e-02,7.945340851591e-01,5.239839019671e-01,4.484945984722e-02
102,4080,4.536637193535e-02,9.406112939575e-01,5.539790349777e-01,4.484945984722e-02
103,4120,4.449512768810e-02,7.890777781320e-01,5.141517030127e-01,4.449512768810e-02
104,4160,4.478890691222e-02,8.015094434469e-01,5.043565370755e-01,4.449512768810e-02
105,4200,4.469953976491e-02,8.115576612275e-01,5.377740267608e-01,4.449512768810e-02
106,4240,4.461889255376e-02,8.065340199909e-01,5.729762813450e-01,4.449512768810e-02
107,4280,4.510550939012e-02,8.696566284189e-01,5.837996040371e-01,4.449512768810e-02
108,4320,4.457786410723e-02,7.602275985256e-01,5.381435533969e-01,4.449512768810e-02
109,4360,4.452107376680e-02,8.196735126321e-01,5.737582908059e-01,4.449512768810e-02
110,4400,4.472562914707e-02,8.125057212584e-01,6.249039143891e-01,4.449512768810e-02
111,4440,4.445972883867e-02,7.289485800210e-01,5.611803914150e-01,4.445972883867e-02
112,4480,4.443500346794e-02,7.649828375927e-01,5.118430394442e-01,4.443500346794e-02
113,4520,4.461443311812e-02,7.009553142485e-01,5.628337187287e-01,4.443500346794e-02
114,4560,4.441613853228e-02,7.354057932644e-01,5.538300406553e-01,4.441613853228e-02
115,4600,4.438769139952e-02,7.215733886048e-01,5.939439221919e-01,4.438769139952e-02
116,4640,4.447638164888e-02,6.872023058093e-01,5.643727706003e-01,4.438769139952e-02
117,4680,4.441553603996e-02,6.994186588030e-01,5.882580986923e-01,4.438769139952e-02
118,4720,4.440466957915e-02,7.418773354737e-01,6.083984055607e-01,4.438769139952e-02
119,4760,4.451021773190e-02,7.374027181450e-01,6.282246150228e-01,4.438769139952e-02
120,4800,4.447242757859e-02,7.130008428465e-01,6.264195693880e-01,4.438769139952e-02
121,4840,4.439701560306e-02,7.396507700276e-01,6.100070911391e-01,4.438769139952e-02
122,4880,4.439998280134e-02,7.534567497922e-01,6.080561409297e-01,4.438769139952e-02
123,4920,4.439039279413e-02,7.010232387681e-01,5.723810971834e-01,4.438769139952e-02
124,4960,4.435531233329e-02,6.701070797609e-01,5.734600021566e-01,4.435531233329e-02
125,5000,4.436924437315e-02,6.948022289893e-01,5.809791113254e-01,4.435531233329e-02
126,5040,4.437324697867e-02,6.976058335693e-01,5.941805105051e-01,4.435531233329e-02
127,5080,4.442043500379e-02,7.531700758458e-01,6.542031274800e-01,4.435531233329e-02
128,5120,4.437750661127e-02,6.470203315072e-01,5.041733844776e-01,4.435531233329e-02
129,5160,4.436387042561e-02,7.415625523322e-01,6.205886292504e-01,4.435531233329e-02
130,5200,4.435407232533e-02,6.835439011881e-01,5.827507126579e-01,4.435407232533e-02
131,5240,4.435486950178e-02,7.100568332499e-01,5.937071959146e-01,4.435407232533e-02
132,5280,4.435669638300e-02,6.501524855118e-01,5.773268118117e-01,4.435407232533e-02
133,5320,4.435943576226e-02,6.751881062583e-01,5.773996321384e-01,4.435407232533e-02
134,5360,4.435355865061e-02,7.950733005749e-01,7.112228526960e-01,4.435355865061e-02
135,5400,4.435409161602e-02,6.236237569725e-01,5.438544151883e-01,4.435355865061e-02
136,5440,4.434861936465e-02,7.063638614436e-01,6.148695128119e-01,4.434861936465e-02
137,5480,4.434316839651e-02,6.287954194267e-01,5.991468432822e-01,4.434316839651e-02
138,5520,4.434768626464e-02,6.091108779431e-01,5.391598135916e-01,4.434316839651e-02
139,5560,4.434278643594e-02,6.663882515413e-01,6.002842317845e-01,4.434278643594e-02
140,5600,4.434152443102e-02,5.570756303280e-01,6.338419233591e-01,4.434152443102e-02
141,5640,4.434179037819e-02,5.756741653559e-01,5.506192977820e-01,4.434152443102e-02
142,5680,4.433888571237e-02,7.414317050405e-01,8.390242909573e-01,4.433888571237e-02
143,5720,4.433887705709e-02,5.975855896765e-01,5.433081951453e-01,4.433887705709e-02
144,5760,4.433871023915e-02,6.463500970377e-01,6.540471300534e-01,4.433871023915e-02
145,5800,4.433821543274e-02,5.401977331391e-01,5.516282992636e-01,4.433821543274e-02
146,5840,4.433716132374e-02,6.293807626709e-01,6.082771107728e-01,4.433716132374e-02
147,5880,4.433750288342e-02,6.352773991892e-01,6.728080960180e-01,4.433716132374e-02
148,5920,4.433698333833e-02,5.765122750491e-01,5.891216687615e-01,4.433698333833e-02
149,5960,4.433739819264e-02,7.362155484361e-01,9.142361605197e-01,4.433698333833e-02
150,6000,4.433710883936e-02,5.888632989953e-01,7.323206259463e-01,4.433698333833e-02
151,6040,4.433713324521e-02,8.058512090820e-01,1.041214637220e+00,4.433698333833e-02
