iter,evals,f_best,f_mean,f_std,gbest_f
1,40,3.347627526356e+01,1.461145185892e+02,6.342778811325e+01,3.347627526356e+01
2,80,1.533724748565e+01,6.550555954821e+01,3.425147219040e+01,1.533724748565e+01
3,120,1.035293722038e+01,3.451207524349e+01,1.782628508008e+01,1.035293722038e+01
4,160,4.197462484566e+00,3.471694763485e+01,1.947509735418e+01,4.197462484566e+00
5,200,3.537580625355e+00,2.021062010837e+01,1.303125337706e+01,3.537580625355e+00
6,240,2.273796130713e+00,1.729268323359e+01,8.219925489895e+00,2.273796130713e+00
7,280,1.427908425588e+00,1.434246303157e+01,9.554623591567e+00,1.427908425588e+00
8,320,2.689510490374e+00,1.254978332319e+01,6.639172909220e+00,1.427908425588e+00
9,360,2.104470699732e+00,9.969038260763e+00,6.796117132563e+00,1.427908425588e+00
10,400,1.960285834083e+00,9.082935928270e+00,5.954382021741e+00,1.427908425588e+00
11,440,1.772283174146e+00,8.040967128202e+00,5.749314596094e+00,1.427908425588e+00
12,480,2.521039508857e+00,6.058523216921e+00,2.736042299335e+00,1.427908425588e+00
13,520,1.764132033805e+00,7.485230614553e+00,4.818382853657e+00,1.427908425588e+00
14,560,1.719689682497e+00,6.960793436209e+00,5.816169494480e+00,1.427908425588e+00
15,600,1.858013830976e+00,6.201595161625e+00,4.783507488668e+00,1.427908425588e+00
16,640,1.788240712227e+00,4.819022687326e+00,3.834318008953e+00,1.427908425588e+00
17,680,1.609411260016e+00,5.242335917069e+00,3.010344363072e+00,1.427908425588e+00
18,720,1.369133443208e+00,4.871307461350e+00,3.280348892980e+00,1.369133443208e+00
19,760,1.364430451240e+00,4.292129384658e+00,3.208880361328e+00,1.364430451240e+00
20,800,1.196042152585e+00,4.203891456294e+00,2.626343923047e+00,1.196042152585e+00
21,840,9.703968379115e-01,4.752428886830e+00,3.905047351151e+00,9.703968379115e-01
22,880,1.056224065876e+00,3.683372133268e+00,2.276467229945e+00,9.703968379115e-01
23,920,6.690092817581e-01,4.110146770109e+00,3.088805284425e+00,6.690092817581e-01
24,960,1.301674494882e+00,3.868805469727e+00,2.471075498842e+00,6.690092817581e-01
25,1000,9.976126811776e-01,4.810001810198e+00,4.365213579400e+00,6.690092817581e-01
26,1040,1.199781158792e+00,3.391478005444e+00,2.826459516042e+00,6.690092817581e-01
27,1080,1.141044265719e+00,3.787291479563e+00,2.916769681490e+00,6.690092817581e-01
28,1120,1.031153741524e+00,3.153900326178e+00,1.986370039369e+00,6.690092817581e-01
29,1160,1.142598271326e+00,3.992488047944e+00,3.031656944736e+00,6.690092817581e-01
30,1200,1.191849383086e+00,3.352248603610e+00,2.206370405835e+00,6.690092817581e-01
31,1240,9.099089859741e-01,3.663343088506e+00,3.438359653997e+00,6.690092817581e-01
32,1280,9.641707153803e-01,3.877659206070e+00,4.506938505846e+00,6.690092817581e-01
33,1320,1.206991136414e+00,3.004695509810e+00,2.746491810313e+00,6.690092817581e-01
34,1360,5.204168984473e-01,3.150797379785e+00,2.432250337660e+00,5.204168984473e-01
35,1400,9.307126562646e-01,2.944715861903e+00,2.392348952839e+00,5.204168984473e-01
36,1440,8.377054267958e-01,3.213765152692e+00,2.954022320730e+00,5.204168984473e-01
37,1480,9.992213552629e-01,2.796034350312e+00,2.868556485450e+00,5.204168984473e-01
38,1520,9.177207090707e-01,2.838549337767e+00,2.032681565145e+00,5.204168984473e-01
39,1560,9.158579895085e-01,2.874866751855e+00,2.525194999177e+00,5.204168984473e-01
40,1600,1.047201153870e+00,2.327351821574e+00,1.568595813960e+00,5.204168984473e-01
41,1640,7.021276616631e-01,2.434801951624e+00,2.074202327590e+00,5.204168984473e-01
42,1680,8.316128123644e-01,2.168437591528e+00,1.390265663777e+00,5.204168984473e-01
43,1720,6.825306150611e-01,2.159082150818e+00,1.288950891519e+00,5.204168984473e-01
44,1760,8.725930296247e-01,2.087568968118e+00,1.374275971922e+00,5.204168984473e-01
45,1800,4.176029094762e-01,2.188138706180e+00,2.223569184074e+00,4.176029094762e-01
46,1840,6.546396923959e-01,1.562765714085e+00,6.205657011058e-01,4.176029094762e-01
47,1880,5.597016153522e-01,1.810892069439e+00,1.120506913667e+00,4.176029094762e-01
48,1920,9.236058025105e-01,2.218418248002e+00,3.562091217545e+00,4.176029094762e-01
49,1960,7.925653640297e-01,1.740559782408e+00,9.715352941690e-01,4.176029094762e-01
50,2000,4.892063688449e-01,1.708593090729e+00,1.209568057901e+00,4.176029094762e-01
51,2040,7.163745775524e-01,2.054923891723e+00,3.401307590260e+00,4.176029094762e-01
52,2080,3.991080424120e-01,1.799203472790e+00,1.736310010695e+00,3.991080424120e-01
53,2120,4.249171195320e-01,1.562722758444e+00,7.906336616086e-01,3.991080424120e-01
54,2160,9.434097642372e-01,1.648086912990e+00,1.138560950366e+00,3.991080424120e-01
55,2200,6.836692451198e-01,1.615625975413e+00,7.320174818535e-01,3.991080424120e-01
56,2240,4.476862673086e-01,1.648443661638e+00,1.306453810922e+00,3.991080424120e-01
57,2280,8.253611085123e-01,1.687815636222e+00,8.914113355926e-01,3.991080424120e-01
58,2320,1.035534615357e+00,1.495886405641e+00,4.595291570595e-01,3.991080424120e-01
59,2360,4.754099348509e-01,1.566202913467e+00,1.042954786979e+00,3.991080424120e-01
60,2400,5.957151827176e-01,1.552770410811e+00,9.020147904441e-01,3.991080424120e-01
61,2440,5.305557190480e-01,1.510129366232e+00,5.303093023680e-01,3.991080424120e-01
62,2480,9.317088685825e-01,1.600672886692e+00,8.746892368347e-01,3.991080424120e-01
63,2520,7.542720523125e-01,1.610093709996e+00,9.392501648361e-01,3.991080424120e-01
64,2560,5.369420862636e-01,1.576688377321e+00,6.288559474057e-01,3.991080424120e-01
65,2600,4.400274421055e-01,1.680708005532e+00,8.224596820622e-01,3.991080424120e-01
66,2640,6.370523313974e-01,1.535179253044e+00,6.075332659884e-01,3.991080424120e-01
67,2680,4.055834711636e-01,1.457698812508e+00,5.856832102440e-01,3.991080424120e-01
68,2720,4.070954103036e-01,1.520678006397e+00,6.435106117795e-01,3.991080424120e-01
69,2760,5.044623797845e-01,1.349635894150e+00,4.816490018261e-01,3.991080424120e-01
70,2800,5.917256612838e-01,1.336682247523e+00,4.102789546142e-01,3.991080424120e-01
71,2840,6.973576372149e-01,1.413630313654e+00,3.960236721929e-01,3.991080424120e-01
72,2880,4.955998799435e-01,1.471768219732e+00,6.026537504128e-01,3.991080424120e-01
73,2920,5.118967971188e-01,1.295690152011e+00,2.991936760710e-01,3.991080424120e-01
74,2960,6.667766853856e-01,1.443685269321e+00,4.455398335285e-01,3.991080424120e-01
75,3000,3.854006278557e-01,1.418135021532e+00,5.196642720990e-01,3.854006278557e-01
76,3040,2.913242942446e-01,1.424828337578e+00,6.534877008915e-01,2.913242942446e-01
77,3080,9.544667261067e-01,1.310591262759e+00,3.765046080254e-01,2.913242942446e-01
78,3120,7.517835509151e-01,1.323586063149e+00,3.517008878609e-01,2.913242942446e-01
79,3160,9.013022943020e-01,1.386758749746e+00,2.592025002986e-01,2.913242942446e-01
80,3200,6.254743259325e-01,1.313738427448e+00,2.494105907873e-01,2.913242942446e-01
81,3240,4.252650646386e-01,1.423575669943e+00,4.819537673067e-01,2.913242942446e-01
82,3280,5.944989744587e-01,1.362779043437e+00,6.446881762096e-01,2.913242942446e-01
