iter,evals,f_best,f_mean,f_std,gbest_f
1,40,4.331002148795e+01,1.479227648404e+02,4.749280108013e+01,4.331002148795e+01
2,80,1.620541853756e+01,6.114071039191e+01,2.391690506979e+01,1.620541853756e+01
3,120,4.690080596580e+00,3.111401811534e+01,1.928114155195e+01,4.690080596580e+00
4,160,1.035702132685e+01,3.077918369212e+01,1.277356459452e+01,4.690080596580e+00
5,200,5.684359732933e+00,2.269691105562e+01,1.200046366155e+01,4.690080596580e+00
6,240,5.850291226075e+00,1.879304330960e+01,9.736944742191e+00,4.690080596580e+00
7,280,4.146627386664e+00,1.625418794978e+01,9.790392896911e+00,4.146627386664e+00
8,320,2.322830738075e+00,1.175408415482e+01,7.204417502972e+00,2.322830738075e+00
9,360,2.369454917889e+00,1.183305246572e+01,6.869643894527e+00,2.322830738075e+00
10,400,2.229516164298e+00,1.151964133852e+01,6.928618340434e+00,2.229516164298e+00
11,440,2.116344226870e+00,9.073267729839e+00,4.637999541068e+00,2.116344226870e+00
12,480,2.155325926103e+00,1.082161459082e+01,5.880217636347e+00,2.116344226870e+00
13,520,1.792063887905e+00,7.807357353120e+00,5.244135146297e+00,1.792063887905e+00
14,560,1.515950194670e+00,6.564395353703e+00,5.525674070910e+00,1.515950194670e+00
15,600,1.463527698556e+00,7.346389878441e+00,5.932358737182e+00,1.463527698556e+00
16,640,1.341059386489e+00,5.086346528982e+00,3.123057978930e+00,1.341059386489e+00
17,680,1.237538597472e+00,5.502885046534e+00,4.469137697494e+00,1.237538597472e+00
18,720,1.725285313249e-01,4.209619737106e+00,3.823605078382e+00,1.725285313249e-01
19,760,1.043261891891e+00,4.702257932826e+00,3.118452595483e+00,1.725285313249e-01
20,800,9.290683398222e-01,4.121402926137e+00,3.755506385111e+00,1.725285313249e-01
21,840,1.139639207442e+00,3.325862881064e+00,2.537359851195e+00,1.725285313249e-01
22,880,9.012032968571e-01,3.621046286371e+00,2.586533410946e+00,1.725285313249e-01
23,920,8.179035959098e-01,3.408458569887e+00,2.711900891670e+00,1.725285313249e-01
24,960,9.426452991727e-01,3.052045271904e+00,2.801169935567e+00,1.725285313249e-01
25,1000,1.063019233243e+00,2.919412389181e+00,2.831805331631e+00,1.725285313249e-01
26,1040,9.442157914541e-01,2.775820365561e+00,2.181974924052e+00,1.725285313249e-01
27,1080,3.411975380694e-01,2.618686115380e+00,2.423039889632e+00,1.725285313249e-01
28,1120,4.577298264284e-01,2.246183745611e+00,1.440782725835e+00,1.725285313249e-01
29,1160,6.274251096524e-01,2.810311796160e+00,2.904227180863e+00,1.725285313249e-01
30,1200,1.063238449512e+00,2.355730823183e+00,1.579458914259e+00,1.725285313249e-01
31,1240,9.092402207407e-01,2.320972001522e+00,1.384436686881e+00,1.725285313249e-01
32,1280,4.415428257301e-01,2.019498646465e+00,1.617845146843e+00,1.725285313249e-01
33,1320,4.844911583208e-01,1.971139838216e+00,1.019848078737e+00,1.725285313249e-01
34,1360,7.319415455651e-01,1.865709165768e+00,1.452438278236e+00,1.725285313249e-01
35,1400,5.618250385083e-01,1.874164082075e+00,9.211343951639e-01,1.725285313249e-01
36,1440,8.005181733683e-01,1.690803843227e+00,9.478515426316e-01,1.725285313249e-01
37,1480,5.809929465706e-01,1.951339781659e+00,1.312167569147e+00,1.725285313249e-01
38,1520,3.740505423290e-01,1.540815546316e+00,7.565151549078e-01,1.725285313249e-01
39,1560,5.130150201298e-01,1.696066575528e+00,1.005195473349e+00,1.725285313249e-01
40,1600,7.078070566246e-01,1.583500343537e+00,6.882636485999e-01,1.725285313249e-01
41,1640,8.558375587951e-01,1.641511566255e+00,8.507998005934e-01,1.725285313249e-01
42,1680,7.995840497137e-01,1.417990124022e+00,6.381217908803e-01,1.725285313249e-01
43,1720,3.548441742341e-01,1.565950243696e+00,1.035100205966e+00,1.725285313249e-01
44,1760,8.886003005493e-01,1.477128790725e+00,6.186893243382e-01,1.725285313249e-01
45,1800,5.504593275211e-01,1.495230848140e+00,8.962342273628e-01,1.725285313249e-01
46,1840,5.758645325892e-01,1.371152321760e+00,8.498773665018e-01,1.725285313249e-01
47,1880,7.898004333045e-01,1.280505004176e+00,3.447515141859e-01,1.725285313249e-01
48,1920,5.003197462592e-01,1.419183765089e+00,9.034393342483e-01,1.725285313249e-01
49,1960,4.827358839822e-01,1.342061918388e+00,3.517011684918e-01,1.725285313249e-01
50,2000,4.103840891197e-01,1.410744518476e+00,4.198925789671e-01,1.725285313249e-01
51,2040,2.491104676882e-01,1.238129295940e+00,5.250873664233e-01,1.725285313249e-01
52,2080,3.979630731684e-01,1.360748836963e+00,4.399288931937e-01,1.725285313249e-01
53,2120,6.659749962671e-01,1.258439578083e+00,3.828297868026e-01,1.725285313249e-01
54,2160,6.317662337616e-01,1.327753680391e+00,3.521701610834e-01,1.725285313249e-01
55,2200,3.808618460349e-01,1.178641224067e+00,3.716556860212e-01,1.725285313249e-01
56,2240,7.078384596100e-01,1.342284746823e+00,3.907404093820e-01,1.725285313249e-01
57,2280,2.029182659593e-01,1.206791293692e+00,4.521136967913e-01,1.725285313249e-01
58,2320,5.566219446016e-01,1.311743347198e+00,4.301083210140e-01,1.725285313249e-01
59,2360,5.142550361140e-01,1.277961913656e+00,4.165399946802e-01,1.725285313249e-01
60,2400,3.681955537654e-01,1.229494123212e+00,3.402910610872e-01,1.725285313249e-01
61,2440,5.436340003846e-01,1.352177921324e+00,4.463196458440e-01,1.725285313249e-01
62,2480,6.418550976293e-01,1.284000974715e+00,3.854844868285e-01,1.725285313249e-01
63,2520,3.640119845076e-01,1.326970087545e+00,5.373780916631e-01,1.725285313249e-01
64,2560,2.940188523607e-01,1.170944250400e+00,4.104663930255e-01,1.725285313249e-01
65,2600,2.875145290577e-01,1.306354121207e+00,5.790697302652e-01,1.725285313249e-01
66,2640,1.938407664255e-01,1.167371117946e+00,3.471063099889e-01,1.725285313249e-01
67,2680,2.808665629610e-01,1.242125381395e+00,3.890835462061e-01,1.725285313249e-01
68,2720,2.701432161859e-01,1.211402447329e+00,4.486147904626e-01,1.725285313249e-01
69,2760,1.740508206611e-01,1.228129239608e+00,4.652067043495e-01,1.725285313249e-01
70,2800,2.033460261285e-01,1.122251295004e+00,4.149402979558e-01,1.725285313249e-01
71,2840,1.894920207929e-01,1.086000644910e+00,4.156462786900e-01,1.725285313249e-01
72,2880,1.708949914319e-01,1.130272777775e+00,4.476413969196e-01,1.708949914319e-01
73,2920,2.397973548166e-01,1.120062620240e+00,4.340780971068e-01,1.708949914319e-01
74,2960,1.983242598822e-01,1.118978731012e+00,4.710146512982e-01,1.708949914319e-01
75,3000,1.400836373413e-01,9.929561772118e-01,4.148550387301e-01,1.400836373413e-01
76,3040,1.246936418139e-01,1.145730791666e+00,4.667265550053e-01,1.246936418139e-01
77,3080,1.334668671332e-01,1.061164264615e+00,6.026639556210e-01,1.246936418139e-01
78,3120,1.292537924805e-01,1.174051959804e+00,6.711699628630e-01,1.246936418139e-01
79,3160,1.323358600006e-01,1.114355880878e+00,4.999270865307e-01,1.246936418139e-01
80,3200,1.222221529886e-01,1.176140256457e+00,7.255997609263e-01,1.222221529886e-01
81,3240,1.235245630850e-01,1.102955690975e+00,5.898053192424e-01,1.222221529886e-01
82,3280,1.181100684073e-01,1.103831668663e+00,5.962508119322e-01,1.181100684073e-01
83,3320,1.189160191724e-01,1.023511211262e+00,5.632350745880e-01,1.181100684073e-01
84,3360,1.138901673930e-01,1.155134455843e+00,5.105858197901e-01,1.138901673930e-01
85,3400,1.233511034374e-01,1.004064653120e+00,5.631933514436e-01,1.138901673930e-01
86,3440,1.149606441543e-01,9.845225128582e-01,4.467665658151e-01,1.138901673930e-01
87,3480,1.148491586918e-01,1.009516386224e+00,4.385500580958e-01,1.138901673930e-01
88,3520,1.135315885082e-01,9.858884731530e-01,5.277203812973e-01,1.135315885082e-01
89,3560,1.167044469485e-01,1.096516367596e+00,5.118328229604e-01,1.135315885082e-01
90,3600,1.141526453675e-01,1.063981280618e+00,5.697741679105e-01,1.135315885082e-01
91,3640,1.140956552857e-01,1.023518948553e+00,4.629055580688e-01,1.135315885082e-01
92,3680,1.128337583708e-01,9.371257829714e-01,5.058973090352e-01,1.128337583708e-01
93,3720,1.124487715316e-01,9.648966599898e-01,5.565869733561e-01,1.124487715316e-01
94,3760,1.138693425965e-01,9.540800954609e-01,4.787165178076e-01,1.124487715316e-01
95,3800,1.152704619227e-01,9.077749551967e-01,4.995912641894e-01,1.124487715316e-01
96,3840,1.123478645443e-01,9.067231879169e-01,5.609031230776e-01,1.123478645443e-01
97,3880,1.119355618106e-01,8.076635411228e-01,4.821577557454e-01,1.119355618106e-01
98,3920,1.122462300589e-01,8.621587395014e-01,5.528328724184e-01,1.119355618106e-01
99,3960,1.145770522087e-01,7.857886760453e-01,4.890538764793e-01,1.119355618106e-01
100,4000,1.128210256655e-01,8.450806453776e-01,4.983551033974e-01,1.119355618106e-01
101,4040,1.069521436089e-01,7.980218916419e-01,5.495019670029e-01,1.069521436089e-01
102,4080,3.471066583284e-01,1.123486295899e+00,3.034361606626e-01,1.069521436089e-01
103,4120,1.321949331912e-01,1.069365986994e+00,3.139742575956e-01,1.069521436089e-01
104,4160,4.582597216940e-01,1.112411220598e+00,3.073971999647e-01,1.069521436089e-01
