iter,evals,f_best,f_mean,f_std,gbest_f,x_best
1,10,-1.479660000000e+00,8.852034000000e+00,3.443898000000e+00,-1.479660000000e+00,"[np.float64(0.3818923842651228), np.float64(-0.15609745420046223), np.float64(0.37784146937548907), np.float64(-0.08484491346812911), np.float64(0.06260289754764925), np.float64(0.02171671658987498)]"
2,20,-2.339810000000e+00,7.627491000000e+00,4.749816017107e+00,-2.339810000000e+00,"[np.float64(0.44926203184999325), np.float64(0.0439683057514863), np.float64(0.3526514434588336), np.float64(-0.14698300161224348), np.float64(0.1314219210070572), np.float64(0.30336203374367576)]"
3,30,-2.319230000000e+00,5.605584000000e+00,8.783563849877e+00,-2.339810000000e+00,"[np.float64(0.44926203184999325), np.float64(0.0439683057514863), np.float64(0.3526514434588336), np.float64(-0.14698300161224348), np.float64(0.1314219210070572), np.float64(0.30336203374367576)]"
4,40,-2.343620000000e+00,3.870437000000e+00,6.129772542046e+00,-2.343620000000e+00,"[np.float64(0.5), np.float64(-0.05364696424839373), np.float64(0.42991927777420114), np.float64(-0.18480858364840974), np.float64(0.1725666280218298), np.float64(0.2889388347747429)]"
5,50,-2.331390000000e+00,7.566674000000e+00,4.867209761313e+00,-2.343620000000e+00,"[np.float64(0.5), np.float64(-0.05364696424839373), np.float64(0.42991927777420114), np.float64(-0.18480858364840974), np.float64(0.1725666280218298), np.float64(0.2889388347747429)]"
6,60,-2.402040000000e+00,3.885673000000e+00,6.116580663595e+00,-2.402040000000e+00,"[np.float64(0.5), np.float64(-0.085016780596912), np.float64(0.4806392297196255), np.float64(-0.2), np.float64(0.19562455199183806), np.float64(0.3138892638245918)]"
7,70,-2.368140000000e+00,3.674669000000e+00,6.123369448115e+00,-2.402040000000e+00,"[np.float64(0.5), np.float64(-0.085016780596912), np.float64(0.4806392297196255), np.float64(-0.2), np.float64(0.19562455199183806), np.float64(0.3138892638245918)]"
8,80,-2.434270000000e+00,1.368340000000e+00,5.651799721243e+00,-2.434270000000e+00,"[np.float64(0.48996498505018393), np.float64(-0.04604943892682231), np.float64(0.49397338063168467), np.float64(-0.2), np.float64(0.1375716369172632), np.float64(0.3423398262713841)]"
9,90,-2.681460000000e+00,2.498419000000e+00,6.125523570421e+00,-2.681460000000e+00,"[np.float64(0.5), np.float64(0.0023005701085038535), np.float64(0.5), np.float64(-0.2), np.float64(0.18211024317565558), np.float64(0.40753642613384655)]"
10,100,-2.813200000000e+00,4.910498000000e+00,6.233614090277e+00,-2.813200000000e+00,"[np.float64(0.5), np.float64(0.05835320406710876), np.float64(0.49834821641015775), np.float64(-0.2), np.float64(0.15683790740648507), np.float64(0.4553868705298134)]"
