iter,evals,f_best,f_mean,f_std,gbest_f,x_best
1,40,-1.678390000000e+00,9.997595750000e+00,3.623145304019e+00,-1.678390000000e+00,"[0.25070558405646515, 0.37593312928958095, 0.11038993917913176, -0.0409328947506562, 0.18820935091108432, -0.1553279207270773]"
2,80,-2.166160000000e+00,8.776808000000e+00,8.400248193964e+00,-2.166160000000e+00,"[0.28355474361496735, 0.3066026355707, 0.16234439284447885, -0.04265070019770728, 0.34989781555540417, 0.12316288421743274]"
3,120,-2.166500000000e+00,6.044139500000e+00,5.439968434451e+00,-2.166500000000e+00,"[0.30591980076818454, 0.37323268477401034, 0.19556017896564798, -0.04875210735146259, 0.3743377573017848, 0.023197949162498066]"
4,160,-2.492760000000e+00,4.995824000000e+00,5.855140850792e+00,-2.492760000000e+00,"[0.322094254067697, 0.3623101958333373, 0.2374745278463527, -0.04424603758573604, 0.4723377573017848, 0.12119794916249806]"
5,200,-2.838740000000e+00,4.471854000000e+00,6.112231458704e+00,-2.838740000000e+00,"[0.3194183655063702, 0.4413280905958534, 0.35872642659050996, -0.04944374768118952, 0.4951875328588756, 0.16447177945986477]"
6,240,-3.172740000000e+00,2.537606250000e+00,6.127449941054e+00,-3.172740000000e+00,"[0.3457484202652316, 0.5, 0.4460943533677497, -0.0687782327009634, 0.5, 0.25850308828201457]"
7,280,-3.418410000000e+00,1.309021250000e+00,6.044765459938e+00,-3.418410000000e+00,"[0.31185566058047703, 0.5, 0.5, -0.037939677321154254, 0.5, 0.35783751201021097]"
8,320,-3.596780000000e+00,1.048074000000e+00,6.216947775790e+00,-3.596780000000e+00,"[0.3430929630808202, 0.5, 0.5, -0.057650745649796664, 0.5, 0.43486008961004924]"
9,360,-3.714390000000e+00,2.922324250000e+00,6.734230984163e+00,-3.714390000000e+00,"[0.36495907483106044, 0.5, 0.5, -0.07144849347984635, 0.5, 0.48877589392993603]"
10,400,-3.724960000000e+00,5.607124000000e+00,6.331505079033e+00,-3.724960000000e+00,"[0.3662856491356816, 0.5, 0.5, -0.038139640206062655, 0.5, 0.49124037438490326]"
11,440,-3.768270000000e+00,6.253952250000e+00,6.082564618777e+00,-3.768270000000e+00,"[0.3727275066746988, 0.5, 0.5, -0.0423497431549185, 0.5, 0.4957043888794887]"
12,480,-3.776000000000e+00,5.232257500000e+00,6.497688487672e+00,-3.776000000000e+00,"[0.3676350593224798, 0.5, 0.5, -0.003919286297134859, 0.5, 0.4917057659289001]"
13,520,-3.801500000000e+00,3.509909500000e+00,6.823479712673e+00,-3.801500000000e+00,"[0.3654853691752822, 0.5, 0.5, 0.023929234555402794, 0.5, 0.49284369926573124]"
