iter,evals,f_best,f_mean,f_std,gbest_f,x_best
1,10,4.480563296802e+01,1.336309218426e+02,4.559182794941e+01,4.480563296802e+01,"[202.083554148566, -34.68455262824102, 78.28332777742662, 317.99862889923065, 161.66198400070903]"
2,20,1.441173468171e+01,5.464768722290e+01,2.162940447198e+01,1.441173468171e+01,"[-217.07667314132635, -4.415549906716706, 64.08742063288838, -63.964194909550045, 1.814506977451856]"
3,30,6.490542450058e+00,2.013563364644e+01,8.624160238196e+00,6.490542450058e+00,"[42.84013653038568, 51.23744873694203, 86.4080815595056, 99.28957061098409, -6.98718253482059]"
4,40,5.800550839787e+00,2.063806730459e+01,1.324267512013e+01,5.800550839787e+00,"[-13.68117453155186, 77.25646181366133, 76.88227387750986, 28.259327729195803, -79.6182535638807]"
5,50,7.605662084727e+00,2.090188913863e+01,1.234219347674e+01,5.800550839787e+00,"[-13.68117453155186, 77.25646181366133, 76.88227387750986, 28.259327729195803, -79.6182535638807]"
6,60,6.525334306203e+00,1.563147771499e+01,5.282524558305e+00,5.800550839787e+00,"[-13.68117453155186, 77.25646181366133, 76.88227387750986, 28.259327729195803, -79.6182535638807]"
7,70,2.555856598862e+00,7.774952338162e+00,4.590198680159e+00,2.555856598862e+00,"[7.300719132079962, -7.3417532194263515, 24.41518326838029, 30.27102451403198, -67.74382743507718]"
8,80,5.072206390132e+00,1.454777552171e+01,8.492265426699e+00,2.555856598862e+00,"[7.300719132079962, -7.3417532194263515, 24.41518326838029, 30.27102451403198, -67.74382743507718]"
9,90,3.526538160880e+00,7.192700397611e+00,3.640904361965e+00,2.555856598862e+00,"[7.300719132079962, -7.3417532194263515, 24.41518326838029, 30.27102451403198, -67.74382743507718]"
10,100,3.000502711536e+00,9.881145942296e+00,6.589403979440e+00,2.555856598862e+00,"[7.300719132079962, -7.3417532194263515, 24.41518326838029, 30.27102451403198, -67.74382743507718]"
